id,en,ar,d,cat,related
11,interpreted language,لغة مفسَّرة,لغةٌ تُتَرجَمُ فيها البرامجُ إلى صيغٍ تنفيذية وتُنفَّذ عبارةً تلو الأخرى، بدلاً من ترجمتها كاملةً قبل تنفيذها. من اللغات المفسَّرة لغةُ BASIC، وLISP، وAPL.,19,5825
12,interpreter,مفسِّر,برنامجٌ يُترجِمُ ثم يُنفِّذ كلَّ عبارةٍ في برنامجٍ مكتوبٍ بلغة مفَسَّرة.,19,11|587|5825
13,inverted list,لائحة معكوسة,"طريقةٌ لإنشاءِ بَدَلٍ من مُوجِدِي العناوين لمجموعةٍ من المعلومات. فمثلاً، في ملفٍّ يحتوي على معطياتٍ عن السيارات، إذا احتوت التسجيلاتُ 3 و7 و19 و24 و32 على القيمة ""Red"" في الحقل ""COLOR""، فإن اللائحةَ المعكوسةَ المتعلقةَ بالحقل ""COLOR"" ستحتوي على تسجيلةٍ لـ ""Red"" يَتبعها أرقامُ موجِدِ العنوان 3 و7 و19 و24 و32.",7,21|3907
14,inverted structure,بنية معكوسة,بنيةُ ملفٍّ تُخزَّن فيها مفاتيحُ التسجيلات وتُعامَل منفصلةً عن التسجيلات نفسِها.,7,
15,iterate,يكرر [بالتدرج],يُنفِّذُ تعليمةً (أو عبارةً) تكراراً. تُسمى التعليماتُ أو العباراتُ المنفَّذة بهذه الطريقة بالحلقة loop.,19,16|168
16,iterative statement,عبارة تكرارية,عبارةٌ في برنامجٍ تجعله يُكرِّر عبارةً أو أكثر. من أمثلة العبارات التكرارية في BASIC ما يلي: FOR، وDO، وREPEAT..UNTIL، وDO..WHILE.,19,1381
17,J,[لغة] J,لغةُ برمجةٍ عاليةِ المستوى ابتكرها Kenneth Iverson (مطوِّر لغة APL). وهي خَلَفٌ للغةِ APL يمكِن تشغيلُها على العديد من المنصات، منها: DOS، وWindows، وOS/2، وMacintosh. تُستعمل لغة J (مثل لغة APL) في المقام الأول من قبل الرياضيين.,19,508
18,Java,[لغة] Java,لغةُ برمجةٍ غرضيةِ التوجه طوَّرتْها شركةُ Sun Microsystems. وهي تُشبه ++C ولكنها أصغرُ، وأفضلُ محموليةً، وأسهلُ استعمالاً منها، لأنها تحتوي على مفاهيم أقل للتعلم، وتُدير الذاكرة بنفسها. صُمِّمَت Java لتَكون مستقلةً عن المنصّة (أيْ يمكِن تنفيذُ برامجها على أيِّ منصة) وذلك لأن برامج Java تُصرَّف compiled في رِمَازٍ بايتي bytecodes، مشابهٍ لرماز الآلة وغير متعلّق بأي منصة، وهذا ما يجعلها لغةً مفيدة لتطوير تطبيقات Web، لأن المستخدِمين يَنفُذون إلى Web من أنواع عديدة من الحواسيب. الاستعمالُ الأكثرُ شيوعاً لـ Java حالياً هو التطبيقاتُ الصغيرة (أو بُرَيْمِجات applets) لشبكة Web العالمية.,19,19|5523
19,Java applet,بُرَيْمِج Java,برنامجٌ صغيرٌ مكتوبٌ بلغةِ البرمجة Java، ومُتَضمَّنٌ في صفحة Web. يمكِن الإتيانُ ببُرَيْمِجاتِ Java وتنفيذُها من قِبل أيِّ متصفِّحِ Web قادرٍ على تفسير Java مثل: Internet Explorer، و Netscape Navigator، و HotJava. تُستعمَلُ بُرَيْمِجاتُ Java لإضافةِ تأثيراتٍ متعددة الوسائط وإضافة التفاعلية إلى صفحات Web مثل الموسيقى الخلفية، وإظهارات الفيديو بزمنٍ حقيقي، والإحياءات animation، والحاسبات، واللُّعَب التفاعلية. يمكِن تفعيلُ البُرَيْمِجات آلياً عندما يُظهِرُ المستخدِمُ الصفحةَ، وقد تتطلب عملاً ما من المستخدم، كأن يَنقرَ قُونَةً icon في صفحة Web.,15|19,18|3219
20,father file,ملف أب,الملفُّ الذي يحوي آخرَ مجموعةٍ سابقة صالحة من مجموعة معطيات متغيرة. يُسبَقُ الملفُّ الأبُ بالملفِّ الجدِّ، ويُلحَق مباشرةً بالملفِّ الابن. إن الأزواجَ: الأب والابن، الوالد والوليد (أو السليل)، والمستقل وغير المستقل، هي مترادفات.,7,2733
21,field,1 حقل ، 2 حقل,"1- موضعٌ في تَسجيلةٍ record يخزَّن فيه نوعٌ معيّن من المعطيات. فمثلاً، يمكِن أن تحتوي تسجيلةُ الموظف حقولاً لتخزين الاسم، واللقب، والعنوان، والمدينة، والمحافظة، والرمز البريدي، وتاريخ التوظيف، والراتب الحالي، والمنصب، والقسم، إلخ... تتحدّد الحقولُ بطولها الأعظم وبنوع المعطيات (محرفية أو رقمية أو ...) التي يمكِن تخزينها فيها. تتضمّن لغةُ تعريف المعطيات عادةً التسهيلاتِ اللازمةَ لإنشاء الحقول وتحديد خصائصها. في نظم إدارة قواعد المعطيات العلاقاتية تسمّى الحقولُ أعمدةً.
2- فراغٌ في استمارة تُعرض على الشاشة، حيث يستطيع المستخدِمُ إدخالَ عنصرِ معلومات معيّن.",7|8,
22,file structure,بنية الملف,وصفٌ لملفٍّ أو لمجموعةٍ من الملفات المراد معالجتها معاً لغاية ما. يتضمن مثل هذا الوصف موضع ومخطط تنسيق كل من الملفات المعنِيَّة.,17,
23,filter,1 مرشِّح ؛ 2 مرشِّح ؛ 3 مرشِّح ؛ 4 مرشِّح,"1- برنامجٌ أو مجموعةٌ من الميزات ضمن برنامجٍ تقرأ دخْلَه القياسيَّ أو المحدَّد، وتحوِّل الدخْلَ بالطريقة المرغوب فيها، ومن ثم تَكتب الخرجَ على خرجِ البرنامج القياسي أو المحدَّد. يمكِن لمرشحِ قاعدة معطيات مثلاً أن يضعَ علامات على المعلومات التي هي أقدم من تاريخ معيّن.
2- في الاتصالات والإلكترونيات: العتادياتُ والبرمجياتُ التي تمرِّر عناصرَ معيّنة من الإشارة وتحذف أو تُخَفِّض بعضَها الآخر. إن مرشحاً على شبكة اتصالات مثلاً، يجب أن يُصمَّمَ ليرسِل تردّداً معيّناً وليُخمِّد التردّدات التي هي أعلى (مرشح تمرير منخفض)، أو الترددات التي هي أخفض (مرشح تمرير عالٍ)، أو الترددات التي هي أعلى وأخفض معاً (مرشح تمرير حزمة).
3- شكلٌ نمطيٌّ pattern أو قناع mask تُمرَّر المعطيات من خلاله ليستقطع معطيات معيّنة. فمثلاً يَسمح المرشِّحُ (المستعمَلُ في البريد الإلكتروني أو في استحضار رسائل المجموعات الأخبارية) للمستخدِمين بترشيح رسائل من مستخدِمين آخرين.",3|8|23,721|1247
24,filtering program,برنامج ترشيح,برنامجٌ يُرشِّحُ المعلومات ليُظهِرَ فقط النتائجَ المطابقةَ للمواصفات المعرَّفة في البرنامج.,25,
25,Final-Form-Text DCA,بنيان مضمون الوثيقة للنص بصيغة نهائية,مختصره: FFTDCA. مِقْيَسٌ standard لبنيان محتوى الوثائق DCA لتخزين النصوص بصيغة جاهزة للطباعة، بهدف التبادل بين البرامج المختلفة. هناك مِقْيَسٌ مقابل وهو بنيان مضمون الوثيقة للنص بصيغة قابلة للمراجعة والتعديل RFTDCA.,3,6078
26,fixed-point notation,تدوين بالفاصلة الثابتة,مَصَاغَةٌ format رقْميةٌ يكون فيها للفاصلة العشرية موقعٌ محدَّد. وتُعدّ الأعدادُ المدوَّنة بالفاصلة الثابتة حلاً وسطاً بين مَصَاغات الأعداد الصحيحة (المتراصة والفعالة)، ومصاغات الفاصلة العائمة الرقمية، ذات المجال الكبير من القيم. وكما في أعداد الفاصلة العائمة، يمكِن أن يكونَ لأعداد الفاصلة الثابتة جزءٌ كسريّ، ولكن العمليات على أعداد الفاصلة الثابتة تَستغرقُ عادةً زمناً أقلّ من زمن العمليات على أعداد الفاصلة العائمة.,4|7,6|650
27,flag,1 راية ؛ 2 راية,"1- علامةٌ ذاتُ نوعٍ معيّن يستعملها الحاسوب لمعالجة المعلومات أو تفسيرها؛ وهي إشارةٌ تدل على وضعٍ أو وجود شرط معيّن. تُستعمَلُ الراياتُ في مجالات الاتصالات والبرمجة ومعالجة المعلومات. ويمكن أن تكونَ الرايةُ (تبعاً لاستخدامها) رِمَازاً code مضمّناً في المعطيات. يحدِّد شرطاً معيناً، أو بتّاً (أو مجموعة بتّات) تُضبَطُ داخلياً من قبل البرمجيات أو العتاديات لتدل على حدث من نوعٍ معيّن (كخطأ أو نتيجة مقارنة قيمتين).
2- في ميفاق HDLC للاتصالات: سلسلةٌ وحيدةٌ من البتّات 01111110 تُستعمَلُ لبدء إطارِ frame الإرسال (وحدة الإرسال) وإنهائه.",3|7,673
28,float,[نوع] عائم,اسمُ نوعِ معطياتٍ مستعمل في لغات البرمجة (كلغة C)، للتصريح عن المتغيِّرات التي تستطيع تخزين الأعداد ذات الفاصلة العائمة.,7|19,30|2216|6049
29,floating-point constant,ثابت بالفاصلة العائمة,ثابتٌ يمثِّل قيمةً حقيقية، أو بالفاصلة العائمة.,1|7,650|1344
30,floating-point number,عدد بالفاصلة العائمة,عددٌ ممثَّلٌ بجزءٍ عشري وجزء أُسيّ وفقاً لقاعدة معطاة. الجزءُ العشري هو عادةً قيمة بين 0 و1. لإيجاد قيمة عدد بالفاصلة العائمة، تُرفَع القاعدةُ إلى القوة المعبر عنها بالجزء الأسي، ويُضرب الجزء العشري بالناتج. يَستعمِلُ التدوينُ العلميُّ الاعتيادي الأعدادَ بالفاصلة العائمة الموافقة للقاعدة 10، على حين تكون هذه القاعدة عادةً 2 في الحاسوب.,7,
31,flowchart,مخطط الجريان,خريطةٌ بيانيةٌ لمسار التحكّم (أو المعطيات) عبر العمليات في برنامج أو نظام تولِّي handling المعلومات. تُمثِّل الرموزُ (كالمربعات والمعيَّنات والأشكال البيضوية) عملياتٍ متفرقة، وتُوصَلُ بخطوطٍ وأسهم لبيان تدفق المعطيات أو التحكّم من نقطة إلى أخرى. تُستعمَلُ مخططاتُ الجريان بصفة مساعِدات في إظهار طريقة عملِ برنامجٍ مقترح، وباعتبارها وسيلةً لفهم عمليات برنامج موجود.,24,
32,"what-if"" evaluation","تقييم ""ماذا لو؟""","نوعٌ من التقييم لوريقات الجدولة spreadsheet يجري فيه تغييرُ بعض القيم في الصفحات الإلكترونية لكشف تأثيرات هذه التغييرات. مثلاً، يمكن لمستخدِم الصفحات الإلكترونية أن يستخدم تقييم ""ماذا لو"" لتجربة مختلف معدّلات الرهن والحدود للنظر في الأثر على المدفوعات الشهرية والفوائد الكلية المدفوعة خلال مدة القرض.",,
33,A-D converter,مبدِّلٌ تماثليٌّ/رقْمي,انظر: analog-to-digital converter.,3|13|23,
34,A/B switch box,علبةُ ابتدالٍ بموضعين,علبةٌ مغلقةٌ تحوي بدّالةً ذات موضعَي اختيار. عندما يختار مستخدِمٌ وضْعَ البدّالة يمكِن توجيهُ الإشارة المارَّة عبر العلبة، إما من دخْلٍ وحيد إلى أحد الخرجَيْن، وإما من الدخل المختار إلى خرْجٍ وحيد.,3|15,4596
35,A/UX,[نظام] A/UX,إصدارٌ من نظامِ التشغيل UNIX المتعددِ المستخدِمين والمتعدد المهمات، زَوَّدتْ به شركةُ Apple حواسيبَها المختلفة من نوع Macintosh وهو مبنيٌّ أساساً على نظام التشغيل System V، السحب 2.2، الذي طوَّرتْه شركةُ AT&T، مع بعض التحسينات. يَدمجُ النظامُ A/UX عدداً من ميزات Apple، ومنها دعم لعلبة أدوات Macintosh بحيث يُمكِن أن تُزوِّد التطبيقاتُ المستخدِمين بواجهات بيانية مُميزة لحواسيب Macintosh.,4|17,4670
36,ABC,1 حاسوب Atanasoff-Berry ؛ 2 تحكم آلي في السطوع,"1- مختصر: Atanasoff-Berry Computer. الحاسوبُ الإلكترونيُّ الرقْميُّ الأولُ، أوجده John Atanasoff وClifford Berry في جامعة Iowa في عام 1942.
2- مختصر: automatic brightness control. دارةٌ تُغيِّر نصوعَ المرقاب لتعويض شروط الإضاءة المحيطة.",4|5|19|24,
37,abend,نهاية غير طبيعية,مختصر: abnormal end. الإنهاءُ قبلَ الأوان لبرنامجٍ نتيجةَ خطأٍ برمجيٍّ أو عطلٍ في النظام.,24,271|5940
38,ABI,واجهة التطبيق الاثنانية,انظر: Application Binary Interface.,4|18|25,
39,ABIOS,نظام الدخل/الخرج القاعدي المتطوّر,مختصر: Advanced Basic Input/Output System. مجموعةُ مَساقاتِ routines خدمةِ الدخل/الخرج، مصمَّمةٌ لتقبِّل تعدد المهمات، والنمط المحمي protected mode، وهي مضمَّنةٌ في الحواسيب IBM PS/2,4,5392
40,FOR loop,"حلقة تكرار ""FOR""",عبارةُ تحكّمٍ تُنفِّذُ مقطعاً من رِمَازٍ code عدداً معيّناً من المرات. يختلف التركيبُ النحوي والاستعمالُ الفعلي لها من لغةٍ إلى أخرى. تتغير قيمة متغيِّر الحلقة - في أغلب الحالات - ضمن مجال من القيم، بحيث تُسند إليه قيمةٌ مختلفة (متعاقبة عادة) في كلِّ مرة يُنفِّذُ فيها البرنامجُ ذلك المقطع من الرماز.,19,16|168
41,force,يقسر,في البرمجة: تنفيذُ عملٍ معيّن لم يكن ليحدثَ حدوثاً طبيعياً. يُستخدَمُ هذا المصطلحُ عادةً في سياق قَسْرِ المعطيات على أخْذِ قيمٍ ضمن مجال معيّن. مثلاً، قسْر قيمة المقسوم عليه لئلا تكون مساويةً للصفر.,8,5603
42,formal language,لغة صورية,جَمِيعةٌ من تراكيبَ نحويّة ودلاليّة تُعرِّف لغةً حاسوبيةً تعريفاً كاملاً.,19,4280|4633|5333
43,formal logic,منطقٌ صوريّ,دراسةُ التعابير المنطقية والتتاليات والبناء الإجمالي لحجة صالحة، دون النظر في صحة الحجة. يُستعمَلُ المنطقُ الصوريُّ في برهان صحة البرامج.,2,
44,Forth,[لغة] Forth,لغةُ برمجةٍ ابتكرها Charles Moore في أواخر الستينيّات. اختار Moore اسم اللغة تهجئةً مختصرة لِكلمة fourth (وتعني الرابع باللغة الإنكليزية)، لأنه كان يعتقد أنها لغةٌ من الجيل الرابع، ولأن نظامَ تشغيله يَسمح باستخدام 5 أحرف فقط لتسمية البرامج. إن لغةَ Forth هي لغةٌ مُفسَّرة ومهيكلة، وتَستخدِمُ النياسبَ threadings التي تَسمح للمبرمجين بتوسيع اللغة بسهولة. تَسمح Forth بتضمين عددٍ كبير من الوظائف في مكان محدود. وتَستعمِلُ Forth (خلافاً للغات البرمجة الأخرى) التدوينَ اللاحقَ postfix notation لتعابيرها الرياضية، وتتطلّب من المبرمج التعاملَ مباشرةً مع المكدس stack.,19,11|2556|4531|4791
45,FORTRAN,[لغة] FORTRAN,مختصر: FORmula TRANslation. أولُ لغةِ برمجةٍ عالية المستوى (ابتكرها John Backus بين 1954و1958) وهي سَلَفُ العديد من المفاهيم الرئيسية العالية المستوى، مثل: المتغيِّرات، والتعابير، والعبارات التكرارية والشرطية، والمساقات الفرعية المصرَّفة compiled على حدة، والدخل/الخرج المُصاغ. إن لغةَ FORTRAN هي لغةٌ مصرَّفةٌ وبنيوية، ويدلّ اسمُها على جذورها في العلم والهندسة، حيث ما تزال تُستعمل بكثافة، مع أن اللغةَ ذاتَها قد توسّعت وتطوّرت على نطاق واسع خلال الـ 35 عاماً الماضية لتصبح لغة مفيدة في أي مجال.,19,1151|5824
46,forward chaining,سَلسَلة نحو الأمام,في النظم الخبيرة: شكلٌ من حلِّ المسائل، يبدأ بمجموعةٍ من النواظم وقاعدة معطيات للحقائق، ويسعى إلى نتيجةٍ تستند إلى الحقائق التي تُطابق كلَّ المقدمات المنطقية المبيّنة في القواعد.,2,6537
47,forward pointer,مؤشر نحو الأمام,مؤشرٌ ضمن قائمةٍ متصلة يحتوي على عنوان (موضع) العنصر التالي في القائمة.,19|25,
48,fourth-generation language,لغة من الجيل الرابع,لغةٌ صُمِّمتْ للتفاعل مع مبرمجِ الحاسوب، غالباً ما تستعمل لتعيين اللغات المستخدَمة مع قواعد المعطيات العلاقاتية، ويراد بها الإشارة إلى أن هذه اللغات هي خطوة نحو الأمام بالنسبة إلى لغات البرمجة العالية المستوى القياسية مثل C وPascal وCOBOL.,19,102|3225
49,framework,إطار عمل,في البرمجة الغرضية التوجه: بنيةُ تصميمٍ أساسية يمكِن إعادةُ استخدامِها، وتتألف من صفوفٍ مجردة ومحسوسة تساعد على بناء التطبيقات.,24,234|280
50,free-form language,لغة حرة المبنى,لغةٌ ذاتُ تركيبٍ نحوي غير مقيد بموقع المحارف على السطر. C وPascal هما لغتان حرتا المبنى، أما FORTRAN فليست كذلك.,19,
51,front end,طرف أمامي,في التطبيقات: برمجيةٌ (أو ميزة لبرمجية) توفِّر واجهةً لتطبيق أو لأداة أخرى. تُستعمل الأطرافُ الأمامية غالباً لإعطاء واجهةٍ شاملة لصفٍّ من الأدوات التي يُنتِجها صانعُ برمجيات. يقدِّم الطرفُ الأمامي عموماً واجهةً أكثر سهولة في الاستخدام من واجهة التطبيق الذي ينفَّذ خلفها.,25,
52,function,1 وظيفة [برمجية] ؛ 2 إجراء ؛ 3 وظيفة,"1- الغايةُ من برنامج أو مَسَاق routine، أو العمل الذي ينفِّذانه. 
2- مصطلحٌ عام لمَسَاقٍ فرعي subroutine.
3- في بعض اللغات مثل Pascal: مَسَاقٌ فرعي يعيد قيمة.",19|24,53|3702|4052|4559
53,function call,استدعاء وظيفة,طلبُ البرنامجِ لخدماتِ وظيفةٍ معيّنة. يُرمَّز استدعاءُ الوظيفة باسم الوظيفة متبوعاً بالموسطات parameters التي تحتاج إليها لأداء عملها. يمكِن أن تكون الوظيفةُ جزءاً من البرنامج، أو مخزنةً في ملفٍّ آخر بحيث تُحضَر إلى البرنامج أثناء تصريفه compiled، أو أن تكونَ جزءاً من نظام التشغيل.,19,52
54,function library,مكتبة إجراءات,جَمْعَةٌ من المَسَاقات routines المصرَّفة compiled معاً.,19,52|70|4093
55,Java Developer's Kit,1 طقم Java للمطوِّر ، 2 طقم Java للمطوِّر,"مختصره: JDK.
1- مجموعةٌ من الأدوات البرمجية لكتابة تطبيقات أو بُرَيْمِجات Java. تُكتَبُ تطبيقاتُ Java لتبقى في المخدِّم، على حين يُنقَل البُرَيْمِج (الذي هو نَسِيقَة module وظيفية صغيرة) إلى المضيف ويُصرَّف compiled.",,18|19|3219
56,JavaScript,[لغة] JavaScript,لغةٌ إخطاطيةٌ scripting طوَّرتْها شركةُ Netscape Communications مرتبطةٌ بـ Java ارتباطاً غير وثيق. إن JavaScript ليستْ لغةً غرضيةَ التوجه تماماً، وهي محدودةُ الأداء مقارنةً بـ Java لأنها غيرُ مصرَّفة compiled. يمكِن إضافةُ تطبيقات ووظائف أساسية موصولة إلى الخط online إلى صفحات Web باستعمال JavaScript، إلا أن عددَ ودرجةَ تعقيد وظائف الـ API المتاحة أقل من تلك المتاحة من قِبل Java. يُعدّ رِمَازُ JavaScript المتضمَّنُ في صفحة Web مع رِمَازِ HTML، أسهلَ كتابةً من Java وخاصةً للمبرمجين المبتدئين. نحتاج إلى متصفِّح Web متوافقٍ مع JavaScript (مثل Netscape Navigator) لنتمكّن من تنفيذ برامج JavaScript.,19,109|507|4170
57,JCL,[لغة] JCL,مختصر: Job Control Language. لغةُ أوامر تُستعمَلُ في نظم الحواسيب الرئيسة IBM OS/360، لإطلاق تطبيقات وتوصيف معلومات عن زمن التنفيذ، وحجم البرامج، وملفات البرامج المستعملة لكل تطبيق.,19,5771
58,jump instruction,تعليمة قفز,تعليمةٌ تَنْقلُ انسيابَ التنفيذ من عبارةٍ أو تعليمة إلى غيرها.,,80|1626
59,keyword,1 كلمة مفتاحية ؛ 2 كلمة مفتاحية,"1- جملةٌ (أو رِمَازٌ code أو كلمةٌ) مُمَيَّزةٌ ومخزَّنة في حقل مفتاحيّ، تُستعمَلُ لتوجيه عمليات الفرز والبحث في التسجيلات.
2- أيٌّ من عشرات الكلمات المشكِّلة للغةِ برمجةٍ أو لمجموعةٍ من مَساقاتِ routines نظامِ تشغيل.",,3995
60,kludge,1 [عمل] مُرتَجَل ؛ 2 [برنامج] مُهَلْهَل,"1- تشكيلٌ أو بناءٌ عتاديٌّ مؤقّت أو قصير الأمد.
2- برنامجٌ مُميَّزٌ بقصورٍ في التصميم أو التصور القبليّ، كأنْ يُكتَبَ على عجلة ليسُدَّ حاجة آنية.",24,4060|5473
61,language translation program,برنامج ترجمة لغوية,برنامجٌ يترجِمُ عباراتٍ مكتوبةً بلغةٍ ما إلى لغةٍ أخرى (تكون عادةً من لغة عالية المستوى إلى لغة أخرى).,19,
62,"last in, first out",الداخل آخراً، خارج أولاً,مختصره: LIFO. طريقةٌ لمعالجة رتْلٍ، بحيث يُتخلَّصُ من العناصر بالترتيب المعاكس لترتيب إضافتها، فآخرُ العناصر دخولاً هو أولُها خروجاً.,12,4531
63,layered interface,واجهة ذات طبقات,في البرمجة: مستوىً أو أكثر من المَسَاقَات routines، يَتوضّع بين تطبيق وعتاديات حاسوبية، ويَفصل النشاطاتِ بحسب نوع المهمة التي صُمِّمت النشاطاتُ للقيام بها. تُسهِّل هذه الواجهةُ ملاءمةَ البرامجِ لأنواع مختلفة من المعدّات.,4,
64,layout,1 مخطط [نسقي] ؛ 2 نسق ؛ 3 مخطط [توضّعي],1- التخطيطُ الإجماليُّ أو التصميمُ الإجماليُّ لنظام الوثيقة.,4|19,3211
65,lazy evaluation,تقييم كسول,آليةُ برمجةٍ تَسمح لتقييمٍ بأن يُنفَّذَ عند الحاجة فقط، وإلى حدٍّ معيّن فقط. يسمح التقييمُ الكسولُ لبرنامجٍ ما بمعالجة عناصر معطيات مثل الجداول والقوائم الكبيرة جداً بطريقة ملائمة وفعالة.,,
66,leaf,ورقة [شجرة],أيُّ عقدةٍ (موضع) في بنية شجرية موجودة على أبعد مسافة من الجذر (العقدة الأولية) بقطع النظر عن المسار المتبع. وهكذا، فالورقة في أي شجرة، هي عقدة في نهاية فرع، أي ليس لها أي سليل.,7,4041|4565|4852
67,least significant character,المحرف الأقل دلالةً,مختصره: LSC. المحرفُ الأدنى رتبةً، أو المحرفُ الأيمن في متوالية محرفية.,7,171
68,lexicographic sort,فرز معجمي,طريقةُ فرزٍ تُرتِّبُ العناصرَ بحسب ظهورها فيما لو صُنِّفت في معجم.,7,
69,lexicon,1 مَسْرَد ؛ 2 مَسْرَد [المفردات],"1- كلماتُ لغةٍ ما وتعاريفُها. 
2- في البرمجة: مفرداتُ لغةٍ برمجية تتألّف من معيّناتِ الهُويّة، والكلماتِ المفتاحية، والثوابت، والعناصر الأخرى التي تكوِّن ""مفرداتها""، أما التركيبُ النحوي للغة فهو طريقةُ وضْع هذه المفردات بعضِها مع بعض.",19,
70,library,1 مكتبة ؛ 2 مكتبة,"1- في البرمجة: جَمْعَةٌ من المَسَاقاتِ routines المخزَّنةِ ضمن ملفّ. كلُّ مجموعةٍ من التعليمات ضمن مكتبةٍ لها اسمٌ، ويُنفِّذ كلٌّ منها مهمةً مختلفة.
2- جَمْعَةٌ من ملفات البرمجيات أو المعطيات.",19,
