id,english,arabic,french,uri,description,vt,uatv
145415,acidity,حموضة,acidité,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=145415,,True,True
145416,acidization,إحماض,acidification,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=145416,,True,True
145417,acidizer,مُحمِّض,acidifiant,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=145417,,True,True
145418,aclinal; aclinic,لاميْلي,aclinique,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=145418,,True,True
145419,action,فِعْل,action,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=145419,,True,True
145420,active,نشيط,actif,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=145420,,True,True
145421,activity,نشاط,activité,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=145421,,True,True
145422,acute bissectrix,مُنَصِّف الزاوية الحادة، منتصف الزاوية الحادة,bissectrice d'un angle aigu,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=145422,,True,True
145423,adamantine,ألماسي,adamantin,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=145423,يشبه الألماس في الصلابة والبريق,True,True
145424,adamantine lustre,بريق ألماسي,éclat adamantin,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=145424,,True,True
145425,adaptability,تكيّفيّة,capacité adaptive,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=145425,قدرة المتعضيات الحية على التشكّل والتغيّر لملاءمة الأوساط والبيئة التي تعيش فيها,True,True
145426,adaptation,تكيُّف,adaptation,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=145426,التغيّر والتشكّل في المتعضيات الحية لملاءمة الأوساط التي تعيش فيها,True,True
145427,adductor muscle,عضلة مقربة,muscle adducteur,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=145427,عضلة في جسم المحراثيات أو عضديات الأرجل يتم بانقباضها إغلاق المصراعين وإحكامهما,True,True
145428,adhesion,تَلاصُق,adhésion,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=145428,,True,True
145429,adhesive,لصُوق,adhésif,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=145429,,True,True
145430,adhesiveness,تَلاَصقيّة,adhésivité,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=145430,,True,True
145431,adjuster muscle,عضلة ضابطة,muscle ajusteur,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=145431,عضلة في جسم عضديات الأرجل وظيفتها تعديل أوضاع المصراعين عند الانغلاق بحيث ينطبق الواحد منهما فوق الآخر تماما,True,True
145432,admixture,خليط,mélange,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=145432,,True,True
145433,adobe,طُوب,adobe,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=145433,اسم يطلق على رواسب غرينية توجد في الأحواض الصحراوية,True,True
145434,advance,تقدُّم,avancement; progression,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=145434,مصطلح لوصف حركة الشاطئ نحو البحر إما نتيجة لصعود القارة أو لهبوط المنسوب العام للبحر,True,True
145435,advection,تأفُّق,advection,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=145435,انتقال الحرارة في اتجاه أفقي,True,True
145436,adventitious,إضافي، عرضي,adventice,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=145436,,True,True
145437,adventive cone,مخروط ملحق,cône adventif,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=145437,مخروط بركاني ينشأ على سطح مخروط بركاني أكبر منه,True,True
145438,aeolian; eolian,ريحي,éolien,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=145438,ينشأ بفعل الرياح,True,True
145439,aeolotropy; anisotropy,تباين الخواص,anisotropie,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=145439,,True,True
145440,aeon; eon,دَهْر,éone,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=145440,,True,True
145441,aeration,تهوية,aération,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=145441,التعرض لفعل الهواء,True,True
145442,aerial photography,تصوير جوّي,photographie aérienne,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=145442,تصوير الأرض من الجوّ,True,True
145443,aerobia,أحياء هوائية,aérobies,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=145443,أحياء تعيش في الهواء بعيدا عن الماء أو التربة,True,True
145444,aerolites (meliorite),نَيَازِك,aérolithes; aérolites,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=145444,,True,True
145445,affinity,قَرابة,affinité,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=145445,علاقة سلالية بين نوعين أو أكثر من الأحياء,True,True
145446,affluent; tributary,رافد,affluent,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=145446,مجرى مائي يصب في مجرى مائي آخر,True,True
145447,agate,عقيق، أغات,agate,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=145447,معدن من السليكا غير المتبلورة ويغلب عليه التجزيع ووجود الحلقات المختلفة الألوان,True,True
145448,age,عُمر,âge,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=145448,الزمن الجيولوجي المطلق أو النسبي الذي يرجع إليه وقت تكون صخر ما,True,True
145449,agent,عامِل,agent,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=145449,ج عوامل,True,True
145450,agglomerate,رصيص بركاني,agglomérat,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=145450,صخر يتكون من تلاحم حطام صخري مدوّر أو شبه مدور ومن أصل بركاني,True,True
145451,agglutinating,ملتحمة,agglutinant,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=145451,وصف للمنخربات أو الفورامينيفرا التي تبنى أصدافها من الفتات الصلب المتلاصق بمادة لاحمة تفرزها هذه الأحياء,True,True
145452,aggradation,إطماء,alluvionnement,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=145452,,True,True
145453,aggrading river,نهر إطمائي,fleuve d'alluvionnement,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=145453,,True,True
145454,aggregate,مُتجمِّع,agrégat,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=145454,حطام أو فتات صخري متراكم,True,True
145455,aggregation,تَجمُّع,agrégation,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=145455,,True,True
145456,agonic line,خط الانطباق، خط الانحراف الصفري,ligne agonique,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=145456,المحل الهندسي لجمع النقاط على سطح الأرض,True,True
145457,agricultural geology,جيولوجيا(ال...) الزراعية,géologie agricole,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=145457,,True,True
145458,alabaster,باستر (ال...),albâtre,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=145458,جص متماسك ذو حبيبات دقيقة,True,True
145459,albite,ألبيت,albite,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=145459,معدن من الفلسبار وهو ضرب من البلاجيوكلاز مكون من سليكات الألومنيوم والصوديوم,True,True
145460,albitization,تحول ألبيتي,albitisation,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=145460,عملية تحول البلاجيوكلاز في الصخور النارية واستبدال الألبيت به,True,True
145461,alcyonaria; octocoralia,ألسيوناريا,alcyonaires; octocaralliaires,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=145461,المرجانيات الثمانية الحواجز,True,True
145462,algae,أشنات,algues,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=145462,,True,True
145463,alidade,أَلِيدَاد,alidade,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=145463,آلة تستعمل في المسح الطوبوغرافي والجيولوجي,True,True
145464,aliform,جَنَاحِيُّ الشكل,aliforme,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=145464,,True,True
145465,alkali,قِلْيٌ، قِلْوٌ,alcali,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=145465,,True,True
145466,alkalies,قِلْوِيات,alcalis,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=145466,,True,True
145467,alkalimeter,مقياس القِلْوية,alcalimètre,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=145467,,True,True
145468,alkalimetry,قِياس القِلوية,alcalimétrie,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=145468,,True,True
145469,alkaline,قِلْوي,alcalin,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=145469,,True,True
145470,alkalization,تَقْليَة,alcalisation,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=145470,,True,True
145471,alkaloid,قِلْواني,alcaloïde,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=145471,,True,True
145472,allochromatic minerals,معادن متغيرة الألوان,minéraux allochromatiques,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=145472,,True,True
145473,allochthanous fold,طَيَّة مغتربة,pli allochtone,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=145473,,True,True
145474,allochthonous rock,صخر منقول، صخر مجلوب,allochtone roche,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=145474,صفة للصخور التي انتقلت من مكانها الأصل الذي تكونت فيه,True,True
145475,allogeneous; allothigeneous,منقول المنشإ,allogène; allothygène,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=145475,,True,True
145476,allogenesis formation,تشكيلة منقولة,formation allogène,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=145476,,True,True
145477,allomorphic; pseudomorph,زائف الشكل,allomorphique,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=145477,تسمية للدلالة على تغير الشكل البلوري لمعدن ما دون أن يطرأ عليه تغير في التركيب الكيميائي,True,True
145478,allotriomorphic,ناقص التشكل,allotriomorphe,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=145478,,True,True
145479,allotriomorphic crystals,بلورات ناقصة التبلور,cristaux allotriomorphes,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=145479,,True,True
145480,allotriomorphic structure,بنية ناقصة الشكل,structure allotriomorphe,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=145480,,True,True
145481,allotropic,متأصِّل، متشّكِّل,allotropique,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=145481,,True,True
145482,allotropy,تأصُّل، تشكّلية,allotropie,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=145482,ظاهرة وجود العنصر الواحد في أكثر من شكل بلوري مثل وجود الكربون في هيئة الغرافيت والألماس,True,True
145483,alloy,سبيكة,alliage,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=145483,,True,True
145484,alluvial,طَمْيِيّ، لحقي,alluvial,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=145484,,True,True
145485,alluvial apron,سهل طَمْيِيّ,plaine alluviale,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=145485,,True,True
145486,alluvium,طمي,alluvion,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=145486,رواسب النهر في مجراه,True,True
145487,almandine,ألمادين,almandine; almandin,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=145487,معدن يتركب من سليكات الألومنيوم والحديد,True,True
145488,alpha,ألفا,alpha,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=145488,أول حرف في الهجائية اليونانية يستعمل في تركيب بعض المصطلحات العلمية,True,True
145489,alpine,ألبي,alpin,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=145489,يشبه جبال الألب أو ينسب إليها,True,True
145490,alteration,تغيُّر,altération,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=145490,اختلاف التركيب الكيميائي أو الفيزيائي أو كليهما للصخر أو المعدن الأصلي,True,True
145491,alternation,تناوُب,alternance,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=145491,,True,True
145492,altimeter,مقياس الارتفاع,altimètre,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=145492,جهاز لقياس الارتفاعات منسوبة إلى سطح البحر,True,True
145493,altitude,ارتفاع,altitude,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=145493,البعد الرأسي لنقطة ما من منسوب البحر,True,True
145494,alum,شَبٌّ,alun,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=145494,,True,True
145495,alumina,ألومينا,alumine,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=145495,أوكسيد الألومنيوم,True,True
145496,aluminiferous,ذو ألومين,aluminifère,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=145496,محتوٍ على ألومين,True,True
145497,aluminite,ألومينيت,aluminite,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=145497,كبريتات الألومنيوم المائية,True,True
145498,aluminium,ألومنيوم,aluminium,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=145498,,True,True
145499,aluminous,ألوميني,alumineux,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=145499,,True,True
145500,alunite (alun stone),ألونيت,alunite; alun naturel; pierre d'alun,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=145500,حجر الشب,True,True
145501,alveolar,سنخي,alvéolaire,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=145501,,True,True
145502,alveoli,أسناخ,alvéoles,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=145502,,True,True
145503,alveolus (pl:alveoli),سنخ (ج: أسناخ),alvéole,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=145503,فراغ أنبوبي الشكل يوجد بين أسنان نسيج الغلاف المشطي في صدفة المنخربات من الفصيلة الفوزيولينية,True,True
145504,amalgam,مَلْغَم,amalgame,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=145504,سبيكة (أشابة) من الفضة والزئبق أو من الزئبق وفلز آخر,True,True
145505,amber,عَنْبَر,ambre,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=145505,صمغ أحفوري أو مُسْتَحاتّيّ ينشأ من تحجر إفرازات الصنوبريات القديمة,True,True
145506,ambulacral areas,مناطق أقدامية,ambulacraires,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=145506,المناطق التي توجد عليها الأقدام الأنبوبية في شوكيات الجلد,True,True
145507,ambulacral ossicles,عُظَيْمَات أقدامية,osselets ambulacraires,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=145507,,True,True
145508,amethyst,جَمَشْت، أمِتِسْت,améthyste,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=145508,ضرب من المرو البنفسجي اللون,True,True
145509,amianthus; asbestos,أَمْينْت,amiante,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=145509,,True,True
145510,ammonia,نُشَادِر,ammoniac; ammoniaque,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=145510,,True,True
145511,ammonites,أَمُونِيت,ammonites,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=145511,,True,True
145512,ammonoidea,أَمُونِدَات,ammonoïdés,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=145512,رتبة منقرضة من رأسيات الأرجل تشبه النوتيلوس الحديث وتتميز عنه بخطوط الدرز المعقدة,True,True
145513,amorphous,لا شَكْلي,amorphe,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=145513,صفة للمعادن والصخور التي ليس لها شكل بلَّوْرِي محدَّد,True,True
145514,amorphous graphite,غرافيت غير متبلور,graphite amorphe,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=145514,,True,True
145515,amphibia,برمائيات,amphibiens,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=145515,صنف أو طائفة من الحيوانات الفقرية لها صفات متوسطة بين الأسماك والزواحف تتنفس بالخياشيم في أطوارها الأولى وبالرئات في مرحلة النضج,True,True
145516,amphibole,أمفيبول,amphibole,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=145516,مجموعة من المعادن الثنائية السليكات معقدة التركيب تكثر في الصخور النارية الحامضية والمتوسطة,True,True
145517,amphibolite,أمفيبوليت,amphibolite,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=145517,معدن متحول يتكون أساسا من الأمفيبول والبلاجيوكلاز,True,True
145518,amphibolitization,تحول أمفيبوليتي,transformation en amphibolite,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=145518,,True,True
145519,amphitheatre,حَلَبَة,amphithéâtre; cirque,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=145519,,True,True
145520,amplitude,سَعَة,amplitude,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=145520,,True,True
