id,english,arabic,french,uri,description,image_uri_remote,vt,uatv
206367,act,فعل,acte,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=206367,,,True,True
206368,action,عمل,action,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=206368,,,True,True
206369,action of the middle,تأثير الوسط,action du milieu,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=206369,,,True,True
206370,active,فعّال,actif,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=206370,,,True,True
206371,activity,فاعليّة,activité,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=206371,,,True,True
206372,actualize (to),حقّق,actualiser,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=206372,,,True,True
206373,adaptation,تكيّف,adaptation,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=206373,,,True,True
206374,adequation,مطابقة,adéquation,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=206374,,,True,True
206375,adolescence,مراهقة,adolescence,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=206375,,,True,True
206376,adult,راشد,adulte,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=206376,,,True,True
206377,adventitious idea,فكرة طارئة,idée adventice,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=206377,,,True,True
206378,adversity,ضرّاء,adversité,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=206378,,,True,True
206379,affection,انفعال,affection,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=206379,,,True,True
206380,affectivity,انفعالية,affectivité,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=206380,,,True,True
206381,affirmation,اثبات,affirmation,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=206381,,,True,True
206382,agent,فاعل,agent,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=206382,,,True,True
206383,aggression,عدوان,agression,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=206383,,,True,True
206384,agnosticism,لا أدرية,agnosticisme,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=206384,,,True,True
206385,agreeable,ممتع,agréable,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=206385,,,True,True
206386,aim,هدف,but,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=206386,,,True,True
206387,alcoholism,ادمان الخمر,alcoolisme,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=206387,,,True,True
206388,alienation,اغتراب,aliénation,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=206388,,,True,True
206389,alive matter,مادة حية,matière vivante,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=206389,,,True,True
206390,allowed,جائز,permis,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=206390,,,True,True
206391,altruism,ايثار,altruisme,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=206391,,,True,True
206392,ambiguity,ابهام,ambiguïté,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=206392,,,True,True
206393,amnesia,فقدان الذاكرة,amnésie,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=206393,,,True,True
206394,amorphuous,هلامي,amorphe,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=206394,,,True,True
206395,amplifying induction,استقراء موسّع,induction amplifiante,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=206395,,,True,True
206396,analogy,تمثيل,analogie,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=206396,,,True,True
206397,analysis,تحليل,analyse,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=206397,,,True,True
206398,analytical judgement,حكم تحليلي,jugement analytique,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=206398,,,True,True
206399,anarchism,فوضوية,anarchisme,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=206399,,,True,True
206400,anarchist,فوضوي,anarchiste,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=206400,,,True,True
206401,anarchy,فوضى,anarchie,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=206401,,,True,True
206402,anger,غضب,colère,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=206402,,,True,True
206403,anguish,قلق,angoisse,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=206403,,,True,True
206404,animal psychology,علم النفس الحيواني,psychologie animale,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=206404,,,True,True
206405,animism,احيائية,animisme,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=206405,مذهب حيوية المادة,,True,True
206406,annihilate (to),أفنى,anéantir,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=206406,,,True,True
206407,anomaly,انحراف,anomalie,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=206407,,,True,True
206408,antecedent,مقدّم,antécédent,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=206408,,,True,True
206409,anthropocentrism,مركزية الانسان,anthropocentrisme,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=206409,,,True,True
206410,anthropology,اناسة (ال…)، علم الانسان,anthropologie,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=206410,,,True,True
206411,anthropomorphism,تشبييه,anthropomorphisme,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=206411,,,True,True
206412,anticipation,توقّع,anticipation,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=206412,,,True,True
206413,antimachinism,مناهضة الآلية,antimachinisme,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=206413,,,True,True
206414,antinomy,نقيضة,antinomie,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=206414,,,True,True
206415,antithesis,نقيضة,antithèse,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=206415,,,True,True
206458,antonomy,استقلال ذاتي,autonomie,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=206458,,,True,True
206416,apathy,برودة,apathie,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=206416,,,True,True
206417,aphasia,حبسة,aphasie,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=206417,,,True,True
206419,applied psychology,علم النفس التطبيقي,psychologie appliquée,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=206419,,,True,True
206420,appurtenance,انتماء,appartenance,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=206420,,,True,True
206423,apriorism,قبليّة,apriorisme,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=206423,,,True,True
206424,aptitude,استعداد,aptitude,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=206424,,,True,True
206425,arbitrary,تحكمي,arbitraire,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=206425,,,True,True
206426,argumentation,محاجة,argumentation,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=206426,,,True,True
206427,aristocracy,ارستقراطية,aristocratie,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=206427,,,True,True
206428,arithmetic,حساب,arithmétique,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=206428,,,True,True
206429,arithmetic of pleasure,حساب الملذّات,arithmétique des plaisirs,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=206429,,,True,True
206430,art,فن,art,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=206430,,,True,True
206431,articulation,تمفصل,articulation,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=206431,,,True,True
206432,artificial pleasure,لذة اصطناعية,plaisir artificiel,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=206432,,,True,True
206433,artisan,صانع,artisan,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=206433,,,True,True
206434,artistic beauty,جمال فني,beauté artistique,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=206434,,,True,True
206435,artistic creation,ابداع فني,création artistique,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=206435,,,True,True
206436,artistic work,عمل فني,oeuvre artistique,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=206436,,,True,True
206437,ascending dialectic,جدل صاعد,dialectique ascendante,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=206437,,,True,True
206438,asceticism,زهد,ascétisme,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=206438,,,True,True
206439,aspect,مظهر,aspect,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=206439,,,True,True
206440,assent,تصديق,assentiment,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=206440,,,True,True
206441,assertion,تأكيد,assertion,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=206441,,,True,True
206442,assistance,مساعدة,assistance,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=206442,,,True,True
206443,association,تداع,association,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=206443,,,True,True
206445,association of ideas,تداعي الأفكار,association des idées,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=206445,,,True,True
206444,associationism,مذهب تداعي المعاني,associationnisme,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=206444,,,True,True
206446,associativity,ارتباطية,associativité,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=206446,,,True,True
206447,astonishment,دهشة,étonnement,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=206447,,,True,True
206448,atheism,حاد (ال…),athéisme,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=206448,,,True,True
206449,atomic energy,طاقة ذرية,énergie atomique,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=206449,,,True,True
206450,atomism,ذرية,atomisme,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=206450,,,True,True
206451,attention,انتباه,attention,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=206451,,,True,True
206452,attitude,اتجاه,attitude,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=206452,,,True,True
206453,attribute,صفة,attribut,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=206453,,,True,True
206454,attributive proposition,قضية حملية,proposition attributive,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=206454,,,True,True
206455,austerity,تشدد,austérité,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=206455,,,True,True
206456,authenticity,أصالة,authenticité,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=206456,,,True,True
206457,authority,سلطة,autorité,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=206457,,,True,True
206459,autosuggestion,ايحاء ذاتي,auto-suggestion,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=206459,,,True,True
206460,auxiliary sciences,علوم مساعدة,sciences auxiliaires,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=206460,,,True,True
206461,axiology,فلسفة القيم,axiologie,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=206461,,,True,True
206462,axiom,بديهية,axiome,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=206462,,,True,True
206463,background,خلفية,fond,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=206463,,,True,True
206464,beauty,جمال,beauté,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=206464,,,True,True
206465,becoming,صيرورة,devenir (n.m),http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=206465,,,True,True
206466,behaviour,سلوك,comportement,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=206466,,,True,True
206467,behavioural fact,حادث سلوكي,fait de comportement,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=206467,,,True,True
206468,behaviourism,سلوكيّة,béhaviorisme,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=206468,,,True,True
206469,being,كائن,être,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=206469,,,True,True
206470,being in it self,وجود (ال…) في ذاته، الكائن في ذاته,être en soi,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=206470,,,True,True
206471,being of reason,موجود ذهني,être de raison,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=206471,,,True,True
206473,belief,اعتقاد,croyance,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=206473,,,True,True
206474,best form,صورة فضلى,forme optimale,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=206474,,,True,True
206475,biological spontaneity,عفوية أحيائية,spontanéité biologique,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=206475,,,True,True
206476,biology,علم الأحياء,biologie,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=206476,,,True,True
206477,birth control,تنظيم النسل,contrôle des naissances,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=206477,,,True,True
206478,birth rate,معدل المواليد,taux de natalité,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=206478,,,True,True
206479,bourgeoisie,بورجوازية,bourgeoisie,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=206479,,,True,True
206480,brain,دماغ,cerveau,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=206480,,,True,True
206472,brain washing,غسيل الدماغ,lavage de cerveau,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=206472,,,True,True
206481,bureaucracy,دواوينية، بيروقراطية,bureaucratie,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=206481,,,True,True
206482,calculation of probability,حساب الاحتمالات,calcul des probabilités,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=206482,,,True,True
206483,capacity,قابلية,capacité,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=206483,,,True,True
206484,capitalism,رأسمالية,capitalisme,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=206484,,,True,True
206485,caprice,نزوة,caprice,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=206485,,,True,True
206486,caste,طائفة,caste,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=206486,,,True,True
206487,categorical imperative,أمر قطعي,impératif catégorique,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=206487,,,True,True
206488,categorical syllogism,قياس حملي,syllogisme catégorique,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=206488,,,True,True
206489,category,مقولة,catégorie,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=206489,,,True,True
206490,category of participation,مقولة المشاركة,catégorie de participation,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=206490,,,True,True
206491,catharsis,تطهير,catharsis,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=206491,,,True,True
206492,causal connection,اقتران علّي,connexion causale,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=206492,,,True,True
206493,causality,علّيّة,causalité,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=206493,,,True,True
206494,cause,علّة,cause,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=206494,,,True,True
206495,censorship,رقابة,censure,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=206495,,,True,True
206496,census,تعداد,recensement,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=206496,,,True,True
206497,certainty,يقين,certitude,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=206497,,,True,True
206498,change,تغيّر,changement,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=206498,,,True,True
206499,character,طبع,caractère,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=206499,,,True,True
206500,characteristics,خصائص، مميزات,caractéristiques,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=206500,,,True,True
206501,characterology,علم الطباع,caractérologie,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=206501,,,True,True
206502,choice,اختيار,choix,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=206502,,,True,True
206503,choice from many possible actions,اختيار من بين عدة أفعال ممكنة,choix entre divers actes possibles,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=206503,,,True,True
206504,choleric,غضبي,colérique,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=206504,,,True,True
206505,chosification,تشييء,chosification,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=206505,,,True,True
206506,chronic,مزمن,chronique,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=206506,,,True,True
206507,chronological age,عمر زمني,âge chronologique,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=206507,,,True,True
206508,circumstance,ظرف,circonstance,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=206508,,,True,True
206509,citizen,مواطن,citoyen,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=206509,,,True,True
206510,citizenship,مواطنة,citoyenneté,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=206510,,,True,True
206513,civil rights,حقوق مدنية,droits civils,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=206513,,,True,True
206511,civilization,حضارة,civilisation,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=206511,,,True,True
206512,civilized,متحضّر,civilisé,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=206512,,,True,True
206514,clan,عشيرة,clan,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=206514,,,True,True
206515,class,طبقة,classe,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=206515,,,True,True
206516,classification,تصنيف,classification,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=206516,,,True,True
206517,classification of sciences,تصنيف العلوم,classification des sciences,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=206517,,,True,True
206518,clear,واضح,clair,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=206518,,,True,True
206519,closed moral,أخلاق مغلقة,morale close,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=206519,,,True,True
206520,code,قانون، مدوّنة,code,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=206520,,,True,True
206521,coexistence,تعايش,coexistence,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=206521,,,True,True
206522,cogito,أنا أفكر,cogito,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=206522,كوجيتو,,True,True
206523,cohesion,تماسك,cohésion,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=206523,,,True,True
206524,collective conscience,ضمير جماعي,conscience collective,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=206524,,,True,True
206525,collective psychology,علم النفس الجماعي,psychologie collective,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=206525,,,True,True
206526,collective unconscious,لا شعور جماعي,inconscient collectif,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=206526,,,True,True
206527,collectivism,جماعية,collectivisme,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=206527,,,True,True
206528,colonialism,استعمار,colonialisme,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=206528,,,True,True
206529,commitment,التزام,engagement,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=206529,,,True,True
206530,common good,صالح عام,bien public,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=206530,,,True,True
206531,common property,ملكية عمومية,propriété publique,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=206531,,,True,True
206532,common sense,رأي (ال…) المشترك,sens commun,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=206532,الادراك العام,,True,True
206533,communication,تواصل,communication,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=206533,,,True,True
206534,commutative justice,عدالة التعويض,justice commutative,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=206534,,,True,True
206535,commutativity,ابدالية,commutativité,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=206535,,,True,True
206536,comparative method,منهج مقارن,méthode comparative,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=206536,,,True,True
206537,comparison,مقارنة,comparaison,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=206537,,,True,True
206538,compensation,تعويض,compensation,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=206538,,,True,True
206539,competence,كفاية,compétence,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=206539,,,True,True
206540,competition,منافسة,compétition; concurrence,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=206540,,,True,True
206541,complementarity,تتاميّة,complémentarité,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=206541,,,True,True
206542,complete induction,استقراء تام,induction complète,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=206542,,,True,True
206543,complex,عقدة,complexe,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=206543,,,True,True
206544,complex of inferiority,عقدة النقص,complexe d'infériorité,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=206544,,,True,True
206545,compound composition,قضية مركّبة,proposition composée,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=206545,,,True,True
206546,comprehension,مفهوم,compréhension; connotation,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=206546,,,True,True
206547,compromise,تسوية,compromis,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=206547,,,True,True
206548,concentration,تمركز,concentration,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=206548,,,True,True
206549,concept,مفهوم,concept,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=206549,,,True,True
206550,conception,تصوّر,conception,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=206550,,,True,True
206551,conceptualism,تصورية,conceptualisme,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=206551,,,True,True
