term_id,term,term_url,ar,cs,de,en,es,fr,it,ja,ko,nl,pl,pt,sr,sv,zh
103-03-06,unit doublet,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=103-03-06,وحدة مزدوجة ( الرمز ΄δ ),jednotkový dublet,"Einheitsdoppelsprung, m",unit doublet,doblete unidad,"doublet unité, m",doppietto unitario,単一ダブレット,단위 쌍극,"eenheidsdoublet, n",impuls jednostkowy podwójnydipuls,dobleto unitário,"јединични дублет, м јд",enhetsduplett,单位偶极函数
103-04-01,Fourier transform,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=103-04-01,تحويل فورير,Fourierův obraz,"Fourier-Transformierte, f",Fourier transform,transformada de Fourier,"transformée de Fourier, f",trasformata di Fourier,"フーリエ変換, 動詞",푸리에 변환,"Fourier-getransformeerde, f",transformata Fouriera,transformada de Fourier,"Фуријеова трансформација, ж јд",fouriertransform,"傅里叶变换, <相关条目：103-04-02>"
103-04-02,Fourier transformation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=103-04-02,تحويلة فورير,Fourierova transformace,"Fourier-Transformation, f",Fourier transformation,transformación de Fourier,"transformation de Fourier, f",trasformazione di Fourier,"フーリエ変換, 名詞",푸리에 변환,"Fourier-transformatie, f",transformacja Fouriera,transformação de Fourier,"Фуријеово трансформисање, с јдФуријеова трансформација, ж јд",fouriertransformation,"傅里叶变换, <相关条目：103-04-01>"
103-04-03,inverse Fourier transform,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=103-04-03,تحويل فورير العكسى,Fourierův vzor,"inverse Fourier-Transformierte, fFourier-Integral, n",inverse Fourier transform,transformada inversa de Fourier,"transformée inverse de Fourier, f",trasformata inversa di Fourier,"逆フーリエ変換, 動詞",역푸리에 변환,"inverse Fourier-getransformeerde, f",transformata odwrotna Fouriera,transformada inversa de Fourier,"инверзна Фуријеова трансформација, ж јд",invers fouriertransform,"傅里叶逆变换, <相关条目：103-04-04>"
103-04-04,inverse Fourier transformation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=103-04-04,تحويلة فورير العكسية,inverzní Fourierova transformace,"inverse Fourier-Transformation, f",inverse Fourier transformation,transformación inversa de Fourier,"transformation inverse de Fourier, f",trasformazione inversa di Fourier,"逆フーリエ変換, 名詞",역푸리에 변환,"inverse Fourier-transformatie, f",transformacja odwrotna Fouriera,transformação inversa de Fourier,"инверзно Фуријеово трансформисање, с јдинверзна Фуријеова трансформација, ж јд",invers fouriertransformation,"傅里叶逆变换, <相关条目：103-04-03>"
103-04-05,Laplace transform,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=103-04-05,تحويل لابلاس,Laplaceův obraz,"Laplace-Transformierte, f",Laplace transform,transformada de Laplace,"transformée de Laplace, f",trasformata di Laplace,"ラプラス変換, 動詞",라플라스 변환,"Laplace-getransformeerde, f",transformata Laplace’a,transformada de Laplace,"Лапласова трансформација, ж јд",laplacetransform,"拉普拉斯变换, <相关条目：103-04-06>"
103-04-06,Laplace transformation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=103-04-06,تحويلة لابلاس,Laplaceova transformace,"Laplace-Transformation, f",Laplace transformation,transformación de Laplace,"transformation de Laplace, f",trasformazione di Laplace,"ラプラス変換, 名詞",라플라스 변환,"Laplace-transformatie, f",transformacja Laplace’a,transformação de Laplace,"Лапласово трансформисање, с јдЛапласова трансформација, ж јд",laplacetransformation,"拉普拉斯变换, <相关条目：103-04-05>"
103-04-07,inverse Laplace transform,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=103-04-07,تحويل لابلاس العكسى,Laplaceův vzor,"inverse Laplace-Transformierte, f",inverse Laplace transform,transformada inversa de Laplace,"transformée inverse de Laplace, f",trasformata inversa di Laplace,"逆ラプラス変換, 動詞",역 라플라스 변환,"inverse Laplace-getransformeerde, f",transformata odwrotna Laplace’a,transformada inversa de Laplace,"инверзна Лапласова трансформација, ж јд",invers laplacetransform,"拉普拉斯逆变换, <相关条目：103-04-08>"
103-04-08,inverse Laplace transformation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=103-04-08,تحويلة لابلاس العكسية,inverzní Laplaceova transformace,"inverse Laplace-Transformation, f",inverse Laplace transformation,transformación inversa de Laplace,"transformation inverse de Laplace, f",trasformazione inversa di Laplace,"逆ラプラス変換, 名詞",역라플라스 변환,"inverse Laplace-transformatie, f",transformacja odwrotna Laplace’a,transformação inversa de Laplace,"инверзно Лапласово трансформисање, с јдинверзна Лапласова трансформација, ж јд",invers laplacetransformation,"拉普拉斯逆变换, <相关条目：103-04-07>"
103-04-09,Z-transform,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=103-04-09,Zتحويل,Z-obraz,"Z-Transformierte, f",Z-transform,transformada Z,"transformée en Z, f",trasformata Z,Z変換,Z변환,"Z-getransformeerde, f","transformata Z, f",transformada em Z,"Z-трансформација, ж јд",Z-transform,"Z 变换, <相关条目：IEV 103-04-10>"
103-04-10,Z-transformation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=103-04-10,Zتحويلة,Z-transformace,"Z-Transformation, f",Z-transformation,transformación Z,"transformation en Z, f",trasformazione Z,Z変換,Z변환,"Z-transformatie, f","transformacja Z, f",transformação em Z,"Z-трансформисање, с јдZ-трансформација, ж јд",Z-transformation,"Z 变换, <相关条目：IEV 103-04-09>"
103-04-11,wavelet,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=103-04-11,الموجة,waveletvlnka,"Wavelet, n",wavelet,ondícula,"ondelette, f",waveletonda elementare (unitaria),ウェーブレット,파형 요소,"wavelet, m",falka,ôndula,"таласна трансформација, ж јд",vågpaket,小波
103-04-12,continuous wavelet transform,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=103-04-12,التحويل الموجى المتصل,spojitá waveletová transformaceCWT,"kontinuierliche Wavelet-Transformierte, fCWT, Abkürzung",continuous wavelet transformCWT,transformada continua en ondículas,"transformée continue en ondelettes, f",trasformata continua in onda unitaria,連続ウェーブレット変換,연속 파형 요소 변환,"continue wavelet-getransformeerde, f",transformata falkowa ciągłaCWT (akronim),transformada contínua em ôndulasCWT (abreviatura inglesa),"непрекидна таласна трансформација, ж јдCWT",kontinuerlig vågpakettransform,连续小波变换
103-05-01,steady state,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=103-05-01,حالة الثبات او الاستقرار,ustálený stav,"stationärer Zustand, mBeharrungszustand, m",steady state,régimen permanente,"régime établi, mrégime permanent, m",condizione stazionariastato stazionario,定常状態,정상 상태,"regimetoestand, m",stan ustalony,estado estacionárioregime permanente,"стационарно стање, с јд",stationärt tillstånd,稳态
103-05-02,"transient, adj",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=103-05-02,عابر او عبور (صفة و اسم),přechodový,"transient, AdjektivÜbergangs-, Präfix","transient, adj",transitorio,"transitoire, adj",transitorio,"非再帰的, 形容詞","과도, 형용사","voorbijgaand, adj",nieustalonyprzejściowy,"transitório, adj","прелазна појава, ж јдтранзијент, м јд",transient,暂态的
103-05-03,"oscillating, adj",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=103-05-03,متذبذب,oscilačníkmitavýkmitajícíoscilující,"oszillierend, Adjektivschwingend, Adjektiv","oscillating, adj",Oscilante,"oscillant, adj",oscillante,"振動, 形容詞","진동, 형용사","oscillerend, adj",oscylującydrgający,"oscilante, adj","осцилаторни, придев",svängande,振荡的
103-05-04,oscillation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=103-05-04,تذبذبذبذبة,kmitáníoscilace,"Schwingung, fOszillation, f",oscillation,oscilación,"oscillation, f",oscillazione,発振,발진진동,"oscillatie, f","oscylacje, f pl",oscilação,"осцилација, ж јд",svängning,振荡
103-05-05,forced oscillation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=103-05-05,تذبذب قوى,vynucené kmitánívynucená oscilace,"erzwungene Schwingung, f",forced oscillation,oscilación forzada,"oscillation forcée, f",oscillazione forzata,強制発振,강제 발진,"gedwongen oscillatie, f",oscylacje wymuszonedrgania wymuszone,oscilação forçada,"принудна осцилација, ж јд",påtvingad svängning,强迫振荡
103-05-06,free oscillation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=103-05-06,تذبذب حر او مطلق,volné kmitánívolná oscilace,"freie Schwingung, f",free oscillation,oscilación libre,"oscillation libre, f",oscillazione libera,自由発振,자유 진동,"vrije oscillatie, f",oscylacje swobodnedrgania swobodne,oscilação livre,"слободна осцилација, ж јд",fri svängning,自由振荡
103-05-07,resonance,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=103-05-07,رنين,rezonance,"Resonanz, f",resonance,Resonancia,"résonance, f",risonanza,共鳴,공진,"resonantie, f","rezonans, m",ressonância,"резонанција, ж јд",resonans,谐振共振
103-05-08,cycle,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=103-05-08,دورة,cyklus,"Zyklus, m",cycle,ciclo,"cycle, m",ciclo,循環サイクル,주기사이클,"cyclus, m",cykl,ciclo,"циклус, м јд","cykel, period",循环
103-05-09,"periodic, adj",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=103-05-09,دورى,periodický,"periodisch, Adjektiv","periodic, adj",Periódico,"périodique, adj",periodico,"周期的, 形容詞","주기적, 형용사","periodiek, adj",okresowyperiodyczny,"periódico, adj","периодични, придев",periodisk,周期的
103-05-10,"aperiodic, adj",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=103-05-10,…..,aperiodický,"aperiodisch, Adjektiv","aperiodic, adj",aperiódico,"apériodique, adj",aperiodico,"非周期的, 形容詞","비주기적, 형용사","aperiodiek, adj",nieokresowyaperiodyczny,"aperiódico, adj","апериодични, придев",aperiodisk,非周期的
103-05-11,relaxation oscillation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=103-05-11,تذبذب متراخى,relaxační kmitánírelaxační kmity,"Relaxationsschwingung, f",relaxation oscillation,oscilación de relajación,"oscillation de relaxation, f",oscillazione di rilassamento,緩和発振,완화 진동,"relaxatie-oscillatie, f",oscylacje relaksacyjnedrgania relaksacyjne,oscilação de relaxação,"релаксационо осциловање, с јд",insvängningsförlopp,张弛振荡
103-05-12,instantaneous value,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=103-05-12,القيمة اللحظية,okamžitá hodnota,"Augenblickswert, mMomentanwert, m",instantaneous value,valor instantáneo,"valeur instantanée, f",valore istantaneo,瞬時値,순시 값,"ogenblikkelijke waarde, f",wartość chwilowa,valor instantâneo,"тренутна вредност, ж јд",momentanvärde,瞬时值
103-05-13,local maximum,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=103-05-13,عظمى محلية,lokální maximum,"lokales Maximum, nMaximum, n",local maximum,máximo local,"maximum local, m",massimo locale,局所極大極大,국부 극대,"lokaal maximum, n",maksimum lokalne,máximo local,"локални максимум, м јд",lokalt maximum,局部极大
103-05-14,local maximum value,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=103-05-14,القيمة العظمى المحليةالقيمة العظمى,lokální maximální hodnotamaximální hodnota,"lokaler Maximalwert, mMaximalwert, m",local maximum valuemaximum value,valor máximo local,"valeur maximale locale, fvaleur maximale, f",valore del massimo localevalore massimo,極大値,국부 극대값,"lokale maximumwaarde, f","wartość maksymalna lokalna, fwartość maksymalna, f",valor máximo local,"вредност локалног максимума, ж јдмаксимална вредност, ж јд",lokalt maximivärdemaximivärde,局部极大值极大值
103-05-15,global maximum value,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=103-05-15,القيمة العظمى العامةقيمة عظمى أو قمة,globální maximální hodnotavrcholová hodnota,"globaler Maximalwert, mSpitzenwert, m",global maximum valuepeak value,valor máximo global,"valeur maximale globale, fvaleur de crête, f",valore del massimo globalevalore di picco,全体の極大値せん頭値,전역 최대값,"globale maximumwaarde, f",wartość szczytowawartość maksymalna globalna,valor máximo globalvalor de pico,"максимална вредност, ж јдвршна вредност, ж јд",totalt maximivärdetoppvärde,全局极大值峰值
103-05-16,local minimum,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=103-05-16,صغرى محلية,lokální minimum,"lokales Minimum, nMinimum, n",local minimum,mínimo local,"minimum local, m",minimo locale,局所の極小極小,국부 극소,"lokaal minimum, n",minimum lokalne,mínimo local,"локални минимум, м јд",lokalt minimum,局部极小
103-05-17,local minimum value,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=103-05-17,القيمة الصغرى المحليةالقيمة الصغرى,lokální minimální hodnotaminimální hodnota,"lokaler Minimalwert, mMinimalwert, m",local minimum valueminimum value,valor mínimo local,"valeur minimale locale, fvaleur minimale, f",valore del minimo localevalore minimo,極小値,국부 극소값,"lokaal minimumwaarde, f","wartość minimalna lokalna, fwartość minimalna, f",valor mínimo local,"вредност локалног минимума, ж јдминимална вредност, ж јд",lokalt minimivärdeminimivärde,局部极小值极小值
103-05-18,global minimum value,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=103-05-18,القيمة الصغرى العامةقيمة صغرى أو قاع,globální minimální hodnotaminimální hodnota,"globaler Minimalwert, mTalwert, m",global minimum valuevalley value,valor mínimo global,"valeur minimale globale, fvaleur de creux, f",valore del minimo globalevalore minimovalore di gola,全体の極小値最低値,전역 최소값,"globale minimumwaarde, f",wartość siodłowawartość minimalna globalna,valor mínimo globalvalor de cava,"минимална вредност, ж јднајмања вредност, ж јд",totalt minimivärdebottenvärde,全局极小值谷值
103-05-19,peak-to-valley value,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=103-05-19,قيمة بين القمة و القاع,vrchol-vrcholhodnota od vrcholu k vrcholu,"Schwingungsbreite, fSchwankung, fSpitze-Tal-Wert, m",peak-to-valley valuepeak-to-peak value,valor de cresta a valle,"valeur de crête à creux, fvaleur de crête à crête, f",valore picco gola,ピーク・ツー・ピーク値ピークピーク値,최고 최저차 값,"oscillatiebreedte, m","wartość szczytowo-siodłowa, fTERMIN NIEZALECANY: wartość międzyszczytowa, f",valor pico-a-cava,"разлика између највеће и најмање вредности, ж јдпуна промена вредности, ж јд",topp-till-bottenvärdetopp-till-toppvärde (ska inte användas),峰-谷值
103-05-20,pulse,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=103-05-20,نبضةدالة ديراك نبضية,pulz,"Impuls, mStoß, m","pulseimpulse, US",Impulso,"impulsion, f",impulso,パルスインパルス,펄스,"puls, mimpuls, m",impuls,impulso,"импулс, м јд",puls,脉冲冲激
103-05-21,pulse train,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=103-05-21,سلسلة نبضات,řada pulzů,"Impulsfolge, fImpulspaket, n","pulse trainimpulse train, US",tren de impulsos,"train d'impulsions, m",treno di impulsi,パルス列インパルス列,펄스 열,"pulstrein, mimpulstrein, m",ciąg impulsów,trém de impulsos,"поворка импулса, ж јд",pulståg,脉冲串冲激串
103-05-22,pulsed quantity,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=103-05-22,كمية نبضية,pulzní veličina,"gepulste Größe, f",pulsed quantity,magnitud impulsional,"grandeur impulsionnelle, f",grandezza impulsiva,パルス量,펄스양,"gepulseerde grootheid, f",wielkość impulsowa,grandeza impulsional,"импулсна величина, ж јд",pulserande storhet,脉冲量
103-05-23,damped oscillation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=103-05-23,ذبذبة متضائلة,tlumené kmitánítlumené oscilace,"gedämpfte Schwingung, f",damped oscillation,oscilación amortiguada,"oscillation amortie, f",oscillazione smorzata,減衰振動,감쇠 진동,"gedempte oscillatie, f",oscylacje tłumione,oscilação amortecida,"пригушена осцилација, ж јд",dämpad svängning,阻尼振荡
103-05-24,damping coefficient,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=103-05-24,معامل التضاؤل,koeficient tlumenísoučinitel tlumení,"Abklingkoeffizient, mDämpfungskonstante, f",damping coefficient,coeficiente de amortiguamiento,"coefficient d'amortissement, m",coefficiente di smorzamento,減衰係数,감쇠 계수,"dempingscoëfficiënt, m",współczynnik tłumienia (1),coeficiente de amortecimento,"коефицијент пригушења, м јд",tidsdämpningskoefficient,阻尼系数
