term_id,term,term_url,ar,de,en,es,fi,fr,it,ja,ko,mn,no,pl,pt,sr,sv,zh
601-01-11,interconnection (of power systems),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=601-01-11,الربط الكهربائي(الربط (لنظام كهربائي,"Verbund, m",interconnection (of power systems),interconexión (de redes eléctricas),yhteenkytkentäverkkojen yhteenkytkentä,interconnexion (de réseaux) f,interconnessione (di reti),連係,"상호 연계, <전력 시스템>상호 연결, <전력 시스템>","систем хоорондын холбоо, <эрчим хүчний системүүдийн>",samband,powiązanie międzysystemowe,interconexão (de redes)interligação (de redes),"међусистемска веза, <система напајања> ж јдинтерконекција, ж јд",länkförbindelse,"互联, <电力系统的>"
601-01-12,interconnected systems,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=601-01-12,شبكات مترابطة,"Verbundnetze, n, pl",interconnected systems,redes (sistemas) interconectadas,yhteiskäyttöverkko,"réseaux interconnectés, m pl",reti interconnesse,連係された系統,연계 시스템상호 접속 시스템,нэгдсэн системүүд,samankoplande nett,systemy powiązane,redes interconectadasredes interligadas,"међусобно повезани системи, м мн",sammankopplade nät,互联系统
601-01-13,asynchronous link,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=601-01-13,ربط لا تزامنيالربط غير المتزامن,"asynchrone Verbindung, f",asynchronous link,conexión asíncrona,asynkroninen yhteys,"liaison asynchrone, f",collegamento asincrono,非同期リンク,비동기 접속비동기 링크,цахилгаан дамжуулах асинхрон шугам,asynkron lenkje,powiązanie asynchroniczne,ligação assíncrona,"асинхрона веза, ж јд",asynkronlänk,异步联接
601-01-14,short-circuit power,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=601-01-14,قدرة دارة  القصر,"Kurzschlussleistung, f",short-circuit power,potencia de cortocircuito,oikosulkuteho,"puissance de court-circuit, f",potenza di corto circuito,短絡容量短絡力,단락 전력,богино-залгааны чадал,kortslutningseffekt,moc zwarciowa,potência de curtocircuitopotência de curtocircuito,"снага кратког споја, ж јд",kortslutningseffekt,短路容量
601-01-15,load in a system,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=601-01-15,حمل الشبكة,"Last, f",load in a system,carga en una red (sistema),kuormitus,"charge dans un réseau, f",carico in una rete,系統内負荷,시스템 부하,системийн ачаалал,last,obciążenie w systemie elektroenergetycznym,carga (numa rede),"оптерећење у систему, с јд",belastning,系统负荷
601-01-16,peak load,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=601-01-16,الحمل الاقصىحمل الذروة,"Lastspitze, f",peak load,punta de carga,huippukuormitus,"pointe de charge, f",punta di carico,最大負荷ピーク負荷,첨두 부하마루 부하,оргил ачаалал,topplast,obciążenie szczytoweszczyt obciążenia,ponta (de carga),"вршно оптерећење, с јд",toppbelastning,尖峰负荷
601-01-17,load curve,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=601-01-17,منحني الحمل,"Lastganglinie, f",load curve,curva de carga,kuormituskäyrä,"courbe de charge, fdiagramme de charge, m",curva di caricodiagramma di carico,負荷曲線,부하 곡선,ачааллын муруй,lastkurve,krzywa obciążenia wykres obciążenia,curva de cargadiagrama de carga,"крива оптерећења, ж јд",belastningskurva,负荷曲线
601-01-18,load duration curve,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=601-01-18,منحنى الحمل الزمني,"Lastdauerlinie, f",load duration curve,curva de duraciones de cargas,kuormituksen pysyvyyskäyrä,"diagramme des charges classées, mmonotone des charges, m",curva di durata dei carichi,負荷持続曲線,부하 지속 곡선,ачаалал үргэлжлэх хугацааны муруй,lastvarigingskurve,krzywa obciążenia uporządkowanawykres obciążenia uporządkowany,diagrama de duração de cargas,"крива трајања оптерећења, ж јд",varaktighetskurva,负荷持续时间曲线
601-01-19,active energy,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=601-01-19,طاقة فعالة,"Wirkarbeit, fWirkenergie, f",active energy,energía activa,pätöenergia,"énergie active, f",energia attiva,有効エネルギー有効電力,유효전력량,идэвхтэй энерги,aktiv energi,energia czynna,energia activa,"активна енергија, ж јд",aktiv energi,有功电能
601-01-20,reactive energy,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=601-01-20,طاقة غير الفعالة,"Blindarbeit, fBlindenergie, f",reactive energy,energía reactiva,loisenergia,"énergie réactive, f",energia reattiva,無効エネルギー無効電力,무효전력량,хуурмаг энерги,reaktiv energi,energia bierna,energia reactiva,"реактивна енергија, ж јд",reaktiv energi,无功电能
601-01-21,nominal voltage of a system,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=601-01-21,جهد إسمي للنظام الكهربائي,"Nennspannung eines Netzes, f",nominal voltage of a system,tensión nominal de una red,verkon nimellisjännite,"tension nominale d'un réseau, f",tensione nominale di una rete (di un sistema),公称系統電圧,전력 시스템 공칭 전압,системийн нэрлэсэн хүчдэл,nominell spenning,napięcie nominalne sieci,tensão nominal de uma rede,"називни напон система, м јд",nominell spänning,系统标称电压
601-01-22,operating voltage (in a system),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=601-01-22,جهد تشغيل النظام الكهربي,"Betriebsspannung, f",operating voltage (in a system),tensión de explotación de una redtensión de servicio de una red,käyttöjännite,tension de service (dans un réseau) f,tensione di esercizio (di una rete o di un sistema),動作電圧運転電圧,"운전전압, <시스템>동작전압, <시스템>","ажлын хүчдэл, <систем дэх>",driftsspenning,napięcie robocze (w sieci),tensão de serviço (de uma rede),"радни напон, <у систему> м јд",driftspänning,"运行电压, <系统中的>"
601-01-23,highest voltage of a system,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=601-01-23,أعلى جهد للنظام الكهربائي,"höchste Betriebsspannung eines Netzes, f",highest voltage of a system,tensión más elevada de un sistema,suurin käyttöjännite,"tension la plus élevée d'un réseau, f",tensione massima  di una rete (di un sistema),システムの最高電圧系統の最高電圧,전력 시스템 최고 전압,системийн хамгийн их хүчдэл,høgaste driftsspenning,napięcie najwyższe sieci,tensão mais elevada de uma rede,"највиши напон система, м јд",högsta driftspänning,系统最高电压
601-01-24,lowest voltage of a system,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=601-01-24,أدنى جهد للنظام الكهربائي,"niedrigste Betriebsspannung eines Netzes, f",lowest voltage of a system,tensión más baja de un sistema,pienin käyttöjännite,"tension la plus basse d'un réseau, f",tensione minima di una rete (di un sistema),システムの最低電圧系統の最低電圧,전력 시스템 최저 전압,системийн хамгийн бага хүчдэл,lågaste driftsspenning,napięcie najniższe sieci,tensão mais baixa de uma rede,"најнижи напон система, м јд",lägsta driftspänning,系统最低电压
601-01-25,voltage level,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=601-01-25,مستوى الجهد,"Spannungsebene, f",voltage level,nivel de tensión,jänniteporras,"niveau de tension, m",livello di tensione,電圧レベル,전압 레벨,хүчдэлийн түвшин,spenningsnivå,poziom napięcia,nível de tensão,"напонски ниво, м јд",spänningsnivå,电压等级
601-01-26,low voltage (abbreviation: LV),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=601-01-26,جهد منخفض,"Niederspannung, f",low voltage (abbreviation: LV),baja tensión (abreviatura: B.T.),pienjännite,basse tension (abréviation: BT) f,bassa tensione (abbreviazione: BT),低電圧,저압엘브이,нам хүчдэлН.Х,lågspenning,napięcie niskienn (akronim),baixa tensãoBT (abreviatura),"ниски напон , м јдLV",lågspänning,低电压
601-01-27,high voltage (abbreviation: HV),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=601-01-27,جهد عالي,"Hochspannung, f",high voltage (abbreviation: HV),alta tensión (abreviatura: A.T.),suurjännite,haute tension (abréviation: HT) f,alta tensione (abbreviazione: AT),高電圧,고압에이치브이,өндөр хүчдэлӨ.Х,høgspenning,napięcie wysokie WN (akronim),alta tensãoAT (abreviatura),"високи напон , м јдНV",högspänning,高电压
601-01-28,"medium voltage (abbreviation: MV) (not used in the UK in this sense, nor in Australia)",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=601-01-28,جهد متوسط,"Mittelspannung, f","medium voltage (abbreviation: MV) (not used in the UK in this sense, nor in Australia)",media tensión (abreviatura: M.T.)tensión compuesta (de una red trifásica),keskijännite,moyenne tension (abréviation: MT) f,media tensione (abbreviazione: MT),中電圧,중압엠브이,дунд хүчдэлД.Х,mellomspenning (ikkje i bruk i Noreg),napięcie średnie,média tensãoMT (abreviatura),"средњи напон , м јдMV",mellanspänning,
601-01-29,phase to phase voltage,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=601-01-29,جهد ما بين طورينجهد الوجه للوجه,"Aussenleiterspannung, fSpannung Außenleiter - Außenleiter, f",phase to phase voltageline to line voltage (US),tensión entre fases,pääjännite,"tension entre phases, ftension composée (d'un réseau triphasé) f",tensione fra le fasitensione concatenata (di una rete o di un sistema trifase),相間電圧,선전압,фаз хоорондын хүчдэлшугам хоорондын хүчдэл,linespenning (fase til fase),napięcie międzyprzewodowenapięcie skojarzone,tensão entre fasestensão composta (de uma rede trifásica),"линијски напон, м јднапон фазе према фази, м јднапон вода према воду, US",huvudspänning,线电压
601-01-30,phase to neutral voltage,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=601-01-30,جهد ما بين الطور ونقطة التعادلجهد الوجه لنقطة التعادل,"Spannung Außenleiter - Neutralleiter, f",phase to neutral voltageline to neutral voltage (US),tensión fase-neutrotensión simple,vaihejännite,"tension phase-neutre, ftension simple, f",tensione fase-neutretensione di fase,位相電圧,상전압,фаз болон саармаг цэг хоорондын хүчдэлшугам болон саармаг цэг хоорондын хүчдэл,fasespenning (fase til nøytral),napięcie fazowe,tensão fase-neutrotensão simples,"фазни напон, м јднапон фазе према неутралном проводнику, м јднапон вода према неутралном проводнику  , US",fasspänning,相电压
601-01-31,phase to earth voltage,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=601-01-31,جهد ما بين الطور والأرضي,"Spannung Außenleiter-Erde, f",phase to earth voltageline to ground voltage (US),tensión entre fase y tierratensión fase-tierra,vaiheen ja maan välinen jännite,"tension phase-terre, f",tensione fase-terra (tensione verso terra),対地電圧,상 대지 전압상 전압,газарт хамаарах фазын хүчдэлгазарт хамаарах шугамын хүчдэл,fasespenning til jord,napięcie względem ziemi,tensão fase-terra,"напон фазе према земљи, м јднапон вода према уземљењу , US",fasspänning till jord(fas)spänning till jord,线对地电压
601-01-32,neutral point displacement voltage,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=601-01-32,جهد الازاحة لنقطة تعادل,"Neutralpunkt-Verlagerungsspannung, f",neutral point displacement voltage,tensión de desplazamiento del punto neutro,tähtipistejännitenollapistejännite,"tension de déplacement du point neutre, f",tensione di spostamento del punto neutre (rispetto alla terra),中性点電圧,중성점 변위 전압,саармаг цэгийн шилжилтийн хүчдэл,nøytralpunktspenning mot jord,napięcie przesunięcia punktu neutralnego,tensão de deslocamento do ponto neutro,"напон звездишта, м јд",nollpunktsspänning,中性点位移电压
601-01-33,bulk power system,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=601-01-33,نظام نقل الطاقة الكهربية الكبيرة,"Elektrizitätserzeugungs- und Übertragungssystem, nErzeugungs- und Übertragungssystem, n",bulk power systemBPS (abbreviation)bulk electricity systemBES (abbreviation),red de generación y transportesistema de generación y transporte,…..,"réseau de production-transport, msystème de production-transport, m",sistema di produzione e trasmissionesistema elettrico per l'energia,大規模電力系統,기간 계통대용량 전력 시스템,цахилгаан эрчим хүчний үндсэн системBPS,produksjons- og overføringssystem,system wytwórczo-przesyłowy,sistema de produção-transporterede de produção-transporte,"главни електроенергетски систем, м јд",systemdel för produktion och överföring,
601-02-01,system diagram,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=601-02-01,مخطط النظام   الكهربائي,"Netzschema, n",system diagram,esquema de una red,verkkokaavioverkostokaavio,"schéma d'un réseau, m",schema di una rete,系統図,계통도시스템 다이어그램,системийн диаграмм,nettskjema,schemat sieci,esquema de uma rede,"шема мреже, ж јд",nätschema,系统图
601-02-02,system operational diagram,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=601-02-02,مخطط تشغيل النظام الكهربائي,"Betriebs-Netzschema, n",system operational diagram,esquema de explotación de una redesquema de una red en explotación,käyttötilannekaavio,"schéma d'exploitation d'un réseau, m",schema d’esercizio di una rete,系統運用図,계통 운영도,системийн үйл ажиллагааны диаграмм,driftsskjema,schemat sieci operacyjny schemat sieci ruchowy,esquema de exploração de uma rede,"погонска шема мреже, ж јд",driftschema,系统运行图
601-02-03,three-phase system diagram,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=601-02-03,مخطط ثلاثي الاطوار للنظام  الكهربائي,"Dreiphasen-Netzschema, n",three-phase system diagram,esquema trifásico de una red,kolmivaihekaavio,"schéma triphasé d'un réseau, m",schema trifase di una rete,三相系統図,삼상 시스템도,гурван фазын системийн диаграмм,trefaseskjema,schemat sieci trójfazowej wieloliniowy,esquema trifásico de uma rede,"трополна шема мреже, ж јд",trefasschema,三相系统图
601-02-04,single-line diagram,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=601-02-04,مخطط احادي الخط للنظام   الكهربائي,"Einstrich-Netzschema, n",single-line diagram,esquema unifilar de una red,yksiviivakaavio,"schéma unifilaire d'un réseau, m",schema unifilare di una rete,単線図,단선 결선도단선도,нэг шугамын диаграмм,einlineskjema,schemat sieci jednoliniowy,esquema unifilar de uma rede,"једнополна шема мреже, ж јд",enlinjeschema,单线图
601-02-05,system pattern,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=601-02-05,نمط النظام  الكهربائي,"Netz-Strukturelement, n",system pattern,estructura elemental de una red,verkkoelementti,"structure élémentaire d'un réseau, f",struttura di una rete,システムパターン,시스템 패턴시스템 유형,системийн загвар,nettmønster,element strukturalny sieci,estrutura elementar de uma rede,"структурни распоред елемената система, м јд",nätmönster,系统连接方式
601-02-06,system configuration,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=601-02-06,شكل النظام  الكهربائيهيئة النظام الكهربائي,"Netzkonfiguration, f",system configuration,configuración de una red,verkon konfiguraatio,"configuration d'un réseau, farchitecture d'un réseau, f",configurazione di una rete,システム構成系統構成,시스템 구성,системийн хэлбэршил,systemkonfigurasjon,konfiguracja sieci układ sieci,configuração de uma rede,"конфигурација система, ж јд",systemkonfiguration,系统结构
601-02-07,link in a system,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=601-02-07,وصلة في النظام الكهربائي,"Verbindung in einem Netz, f",link in a system,enlace de una red,solmuväli,"liaison dans un réseau, f",collegamento di una rete,系統内リンク,시스템 연결 회선시스템 연결 선로,систем дэх цахилгаан дамжуулах шугам,nettelement,połączenie sieciowe,ligação numa rede,"спојни вод, м јд",nätelement,系统联接
601-02-08,feeder,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=601-02-08,مغذي,"Speiseleitung, f",feeder,arterialínea de alimentación,syöttöjohto,"artère, f",arteria,給電線フィーダ,급전선동축 급전선,гаргалга шугам,mateline (forsyningsline),linia zasilająca,artériafeeder (desaconselhado),"напојни вод, м јд",matarledning,馈线
601-02-09,single feeder,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=601-02-09,مغذي شعاعيمغذي احادي,"Stichleitung, f",single feederradial feeder,alimentación en antenalínea en antena,säteisjohto,"(ligne en) antenne, f",linea in antenna,単一給電線,단선 급전선,салангид гаргалга шугамцацраг гаргалга шугам,radialline,linia zasilająca promieniowalinia promieniowa,linha radiallinha em antena,"радијални вод, м јдједнополни вод, м јд",radialledning,单馈结
601-02-10,branch line,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=601-02-10,خط كهربي فرعي,"Abzweigleitung, f",branch linespur,alimentación en derivaciónlínea en derivación,haarajohto,"(ligne en) dérivation, f",(linea in) derivazione,分岐線支線,분기선비엘,салбар шугамүзүүр,greinline,linia odgałęźna odgałęzienie liniowe,linha em derivação,"огранак, м јд",påsticksledning,支线
601-02-11,tapped line,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=601-02-11,خط رئيس متفرع,"Hauptleitung, f",tapped lineteed line,línea con derivación,runkojohto,.....,linea principale,分岐線,탭 선로,салаалсан шугамгурав салаалсан шугам,forgreina line,linia główna  linia magistralna,linha principal,"магистрални вод, м јд",förgrenad ledning,T接线路
601-02-12,supply service,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=601-02-12,خدمة الإمداد بالكهرباء,"Hausanschlussleitung, f",supply serviceline connection,acometida (del consumidor),liittymisjohto,branchement (de consommateur) m,collegamento (di un utente),高圧配電線,공급 서비스공급,хангамжийн үйлчилгээшугамын холболт,serviceline,przyłącze,ramal (de consumidor)entrada (de consumidor),"напојни вод потрошача, м јд",servisledning,接户线路
601-02-13,ring feeder,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=601-02-13,مغذي حلقي,"Ring (in einem Netz), m",ring feederloop (deprecated in this sense),anillo (en una red)bucle (en una red),rengas,boucle (dans un réseau) fmaille (déconseillé dans ce sens) f,anello (in una rete),ループ,고리 급전선,цагираг хэлбэрийн гаргалга шугам,ringmating,pierścień liniipierścień sieciowy,anel (numa rede),"прстенасти вод, м јдпетља , ж јд",slinga,环形馈线
601-02-14,mesh (of a system),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=601-02-14,بنية شبكية  مغلقة,"Masche, f",mesh (of a system),malla (en una red),silmukka,maille (dans un réseau) f,maglia (in una rete),メッシュ,"격자망, <시스템>그물망, <시스템>메시, <시스템>","битүү хүрээ, <системийн>",maske,oczko (sieci),malha (numa rede),"сложена мрежа , <система> ж јд",maska,"网格, <系统的>"
601-02-15,radial system,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=601-02-15,نظام شعاعي,"Strahlennetz, n",radial system,red radial,säteisverkko,"réseau radial, m",rete radiale,放射状系統,방사 계통방사상 계통,цацраг систем,radialnett,sieć promieniowa,rede radial,"радијални систем, м јд",radialnät,辐射系统
601-02-16,tree'd system,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=601-02-16,نظام شعاعي متفرع,"verzweigtes Netz, n",tree'd system,red arborescente,puuverkko,"réseau arborescent, m",rete ad albero,ツリー状系統,방사 계통트리 전력 시스템,салбарласан систем,forgreina nett,sieć promieniowa rozgałęziona,rede arborescente,"радијално-магистрални систем, м јд",förgrenat nät,树形系统
601-02-17,meshed system,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=601-02-17,نظام شبكي مغلق,"vermaschtes Netz, n",meshed system,red mallada,silmukkaverkko,"réseau maillé, m",rete magliata,メッシュ状系統,그물망 계통그물망 전력 시스템,битүү хүрээтэй систем,maskenett,sieć oczkowa sieć zamknięta,rede malhada,"сложени систем, м јд",masknät,网格系统
601-02-18,single supply,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=601-02-18,تغذية احاديةامداد أحادي,"Einfachversorgung, f",single supply,alimentación simple,yksittäissyöttö,"alimentation simple, f",alimentazione semplice,単一給電,단일 전원,нэг талын цахилгаан хангамж,enkelmating (enkel forsyning),zasilanie pojedyncze,alimentação simples,"једнострано напајање, с јд",enkelmatning,单电源供电
601-02-19,duplicate supply,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=601-02-19,تغذية مزدوجة,"Zweifachversorgung, f",duplicate supply,alimentación doble,kaksoissyöttö,"alimentation double, f",alimentazione doppia,二重給電,이중 전원,хоёр талын цахилгаан хангамж,dobbelmating (dobbel forsyning),zasilanie podwójne,alimentação dupla,"двострано напајање, с јд",dubbelmatning,双电源供电
601-02-20,stand-by supply,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=601-02-20,تغذية احتياطية,"Reserveversorgung, f",stand-by supply,alimentación de reservaalimentación de socorro,varasyöttö,"alimentation de réserve, falimentation de remplacement, f",alimentazione di riserva,予備供給,예비 전원,нөөц цахилгаан хангамж,reservemating (reserveforsyning),zasilanie awaryjne zasilanie rezerwowe,alimentação de socorroalimentação de reservaalimentação de substituição,"резервно напајање, с јд",reservmatning,备用电源
601-02-21,tapped (tee off) substation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=601-02-21,محطة احادية التغذيةمحطة محولات مغذاه من نقطة تفريع,"Abzweigstation, f",tapped (tee off) substation,subestación en derivación,pistokasasema,"poste en dérivation, mposte en piquage, m",cabina in derivazione,分岐線からの1回線受電変電所,탭 변전소,салаалсан дэд станцэхлэлийн дэд станц,nettstasjon på greinline,stacja odczepowa,posto em derivação,"подстаница на одводу, ж јд",påsticksstation,分接变电站T接变电站
601-02-22,neutral point in a polyphase system,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=601-02-22,نقطة تعادل في شبكة متعددة الطور,"Neutralpunkt in einem Mehrphasensystem, m",neutral point in a polyphase system,punto neutro de una red polifásica,tähtipiste,"point neutre dans un réseau polyphasé, m",punto neutro in una rete polifase,多相系の中性点,다상 시스템 중성점,олон фазын системийн саармаг цэг,nøytralpunkt i eit fleirfasesystem,punkt neutralny sieci wielofazowej,ponto neutro numa rede polifásica,"неутрална тачка/звездиште у вишефазном систему, ж јд",nollpunkt,多相系统中性点
601-02-23,neutral point connection,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=601-02-23,توصيل نقطة التعادل,"Neutralpunktbehandlung, f",neutral point connection,conexión del neutro,tähtipisteen maadoittamistapa,"régime du neutre, m",regime del neutro,中性点接続,중성점 접속,саармаг цэгийн холболт,nøytralpunktjording,sposób uziemienia punktu neutralnego,regime de neutro,"повезивање неутралне тачке, с јд",nollpunktsjordning,中性点接地方式
601-02-24,isolated neutral system,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=601-02-24,نظام متعادل معزول,"Netz mit isoliertem Neutralpunkt, n",isolated neutral system,red de neutro aislado,maasta erotettu verkko,"réseau à neutre isolé, m",sistema con neutro isolato,非接地方式，非接地系統,중성점 비접지 방식,тусгаарлагдсан саармаг цэгтэй систем,system med isolert nøytralpunkt,sieć z punktem neutralnym izolowanym,rede de neutro isolado,"систем са изолованом неутралном тачком, м јд",system med isolerad nollpunkt,中性点不接地系统
601-02-25,solidly earthed (neutral) system,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=601-02-25,نقطة تعادل مؤرضة مباشرة,"Netz mit direkter Neutralpunkterdung, n",solidly earthed (neutral) system,red de neutro rígidamente a tierra,suoraan maadoitettu verkko,"réseau à neutre directement à la terre, m",sistema con neutro direttamente a terra,直接接地（中性）方式,직접 접지 계통,гүн газардуулсан саармаг цэгтэй систем,system med direktejorda nøytralpunkt,sieć z punktem neutralnym uziemionym bezpośrednio,rede de neutro directamente à terra,"директно уземљен систем, м јд",direktjordat system,中性点直接接地系统
