term_id,term,term_url,ar,de,en,es,fr,it,ja,ko,no,pl,pt,sv,zh
131-11-20,"symmetric, adj",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-11-20,متماثل,"symmetrisch, Adjektiv","symmetric, adj",simétrico,"symétrique, adj",simmetrico,対称の対称,"대칭적, 형용사대칭, 형용사",symmetrisk,symetryczny,simétrico,symmetrisk,对称的
131-11-21,"asymmetric, adj",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-11-21,غير متماثل,"unsymmetrisch, Adjektiv","asymmetric, adj",asimétrico,"asymétrique, adj",asimmetrico,非対称の非対称,"비대칭적, 형용사비대칭, 형용사",asymmetrisk,niesymetryczny,assimétrico,asymmetrisk,非对称的
131-11-22,direct current,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-11-22,تيار مستمر,"Gleichstrom, m",direct current,corriente continua,"courant continu, m",corrente continua,直流電流,직류,likestraum,prąd stały,corrente contínua,likström,直流电流
131-11-23,direct voltage,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-11-23,جهد مستمر,"Gleichspannung, f",direct voltagedirect tension,tensión continua,"tension continue, f",tensione continua,直流電圧,직류 전압직류 장력,likespenning,napięcie stałe,tensão contínua,likspänning,直流电压
131-11-24,alternating current,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-11-24,تيار متردد,"Wechselstrom, m",alternating current,corriente alterna,"courant alternatif, m",corrente alternata,交流電流,교류,vekselstraum,prąd przemienny,corrente alternadacorrente alterna,växelström,交流电流
131-11-25,alternating voltage,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-11-25,جهد متردد,"Wechselspannung, f",alternating voltagealternating tension,tensión alterna,"tension alternative, f",tensione alternata,交流電圧,교류 전압교류 장력,vekselspenning,napięcie przemienne,tensão alternadatensão alterna,växelspänning,交流电压
131-11-26,phasor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-11-26,القيمة المركبة الفعالة للوجه,"Zeiger, m",phasor,fasor,"phaseur, m",fasore,フェーザ,위상자페이저,,fazor,fasor,,相量
131-11-27,periodic conditions,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-11-27,شروط دورية,"periodische Bedingungen, f, pl",periodic conditions,régimen periódico,"régime périodique, m",regime periodico,周期条件,주기 조건,periodisk tilstand,stan okresowy,regime periódico,periodiskt tillstånd,周期状态
131-11-28,sinusoidal conditions,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-11-28,شروط جيبية,"Sinusvorgänge, m, plSinusbedingungen, f, pl",sinusoidal conditions,régimen sinusoidal,"régime sinusoïdal, m",regime sinusoidale,正弦波条件,정현파 조건사인파 조건,sinusforma tilstand,stan sinusoidalny,regime sinusoidal,sinusformigt tillstånd,正弦状态
131-11-29,direction of electric current,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-11-29,اتجاه تيار كهربائي,"elektrische Stromrichtung, f",direction of electric current,sentido de la corriente eléctrica,"sens du courant électrique, m",senso della corrente elettrica,電流の方向,전류 방향,straumretning,zwrot prądu elektrycznegokierunek prądu elektrycznego (termin niezalecany w tym sensie),sentido da corrente elétrica,strömriktning,电流方向
131-11-30,instantaneous power,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-11-30,القدرة اللحظية,"Momentanleistung, <bei einem Zweipol> fMomentanwert der Leistung, <bei einem Zweipol> m",instantaneous power,potencia instantánea,"puissance instantanée, f",potenza istantanea,瞬時電力,순시 전력,,"moc chwilowa, <dwójnika lub dwójnika elementarnego>",potência instantânea,,瞬时功率
131-11-31,instantaneous power (n-terminal circuit),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-11-31,قدرة لحظية (لدارة متعددة الأطراف),"Momentanleistung (bei einem Mehrpol), fMomentanwert der Leistung (bei einem Mehrpol), m",instantaneous power (n-terminal circuit),potencia instantánea (para un multipolo),"puissance instantanée (pour un multipôle), f",potenza istantanea (per un circuito multipolare),"瞬時電力, <<i>n</i>端子回路での>","순시 전력, <<i>n</i>-단자 회로>",momentan effekt (for ein fleirpola krins),moc chwilowa (obwodu n-końcówkowego),"potência instantânea, <para um multipolo>",momentan effekt (för n-pol),"瞬时功率, <n端电路的>"
131-11-32,instantaneous absorbed power,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-11-32,قدرة ممتصة لحظيا,"Momentanwert der aufgenommenen Leistung, m",instantaneous absorbed power,potencia instantánea absorbida,"puissance instantanée absorbée, f",potenza istantanea assorbita,瞬時吸収電力,순시 흡수 전력,momentant oppteken effekt,moc chwilowa pobierana,potência instantânea absorvida,momentant upptagen effekt,瞬时吸收功率
131-11-33,instantaneous supplied power,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-11-33,قدرة موردة لحظيا,"Momentanwert der abgegebenen Leistung, m",instantaneous supplied power,potencia instantánea cedida,"puissance instantanée fournie, f",potenza istantanea erogata,瞬時供給電力,순시 공급 전력,momentant tilførd effekt,moc chwilowa dostarczana,potência instantânea fornecida,momentant avgiven effekt,瞬时供给功率
131-11-34,passive,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-11-34,سلبي,"passiv, Adjektiv",passive,pasivo,"passif, adj",passivo,"受動的な, 形容詞受動","수동수동적, 형용사",passiv,pasywny,passivo,passiv,无源的
131-11-35,dissipative,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-11-35,متبدد,"dissipativ, Adjektivenergieaufnehmend, Adjektiv",dissipative,disipativo,"dissipatif, adj",dissipativo,"散逸の, 形容詞散逸","산일산일의, 형용사",dissipativ,rozpraszający,dissipativo,effektförbrukande,耗能的
131-11-36,non-dissipative,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-11-36,غير متبدد,"verlustfrei, Adjektiv",non-dissipative,no disipativo,"non dissipatif, qualificatif",non dissipativo,"非散逸の, 形容詞非散逸","비산일비산일의, 형용사",ikkje-dissipativ,nierozpraszającyzachowawczy,não-dissipativo,icke effektförbrukande,非耗能的
131-11-37,reactive,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-11-37,غير فعالة,"Blind…, in Zusammensetzungenreaktiv, Adjektiv",reactive,reactivo,"réactif, adj",reattivo,"無効な, 形容詞無効",무효,reaktiv,biernyreaktywny,reativo,reaktiv,无功的
131-11-38,active,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-11-38,فعال,"aktiv, Adjektiv",active,activo,"actif, adj",attivo,"能動的な, 形容詞有効的な, 形容詞能動有効",유효,aktiv,czynnyaktywny,ativo,aktiv,有源的
131-11-39,complex power,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-11-39,القدرة المركبةالقدرة الظاهرية المركبة,"komplexe Leistung, fkomplexe Scheinleistung, f",complex powercomplex apparent power,potencia compleja,"puissance complexe, fpuissance complexe apparente, f",potenza complessapotenza complessa apparente,複素電力複素皮相電力,복소 전력,,moc zespolona,potência complexapotência aparente complexa,,复功率复视在功率
131-11-40,complex alternating power,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-11-40,قدرة ترددية مركبة,"komplexe Wechselleistung, fWechselleistung, f",complex alternating poweralternating power,potencia compleja alterna,"puissance complexe alternative, f",potenza complessa  in regime sinusoidalepotenza apparente complessa  in regime sinusoidale,複素交流電力交流電力複素電力,교류 복소 전력교류 전력,kompleks vekseleffekt,moc zespolona przemienna,potência alternada complexa,produkteffekt,复交流功率交流功率
131-11-41,apparent power,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-11-41,القدرة الظاهرية,"Scheinleistung, f",apparent power,potencia aparente,"puissance apparente, f",potenza apparente,皮相電力,피상 전력,,moc pozorna,potência aparente,,视在功率表观功率
131-11-42,active power,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-11-42,القدرة الفعالة,"Wirkleistung, f",active power,potencia activa,"puissance active, f",potenza attiva,有効電力,유효 전력,,moc czynna,potência ativa,,有功功率
131-11-43,non-active power,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-11-43,القيمة المطلقة للقدرة غير الفعالة,"Gesamtblindleistung, f",non-active power,potencia no activa,"puissance non active, f",potenza non attiva,無効電力,비유효 전력,,moc bierna całkowitamoc nieaktywna,potência não-ativa,,非有功功率
131-11-44,reactive power,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-11-44,متجه القدرة غير الفعالة,"Blindleistung, f",reactive power,potencia reactiva,"puissance réactive, f",potenza reattiva,無効電力,무효 전력,,moc bierna,potência reativa,,无功功率
131-11-45,var,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-11-45,فاروحدة قياس القدرة غير الفعالة,"Var, n",var,var,"var, m",var,バール,바,,war,var,,乏
131-11-46,power factor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-11-46,عامل قدرة,"Leistungsfaktor, m",power factor,factor de potencia,"facteur de puissance, m",fattore di potenza,力率,역률,effektfaktor,współczynnik mocy (1),fator de potência,effektfaktor,功率因数
131-11-47,non-active power factor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-11-47,عامل قدرة غير فعالة,"Gesamtblindleistungsfaktor, m",non-active power factor,factor de potencia no activa,"facteur de puissance non active, m",fattore di potenza non attiva,無効力率,비유효 역률,ikkje-aktiv effektfaktor,współczynnik mocy biernej,fator de potência não-ativa,icke-aktiv effektfaktor,非有功功率因数
131-11-48,displacement angle,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-11-48,زاوية إزاحة,"Spannung-Strom-Phasenverschiebungswinkel, mPhasenverschiebungswinkel, m",displacement anglephase difference angle,ángulo de factor  de potenciadesfase tensión-corriente,"déphasage tension-courant, mangle de facteur de puissance, m",angolo di sfasamento,位相差角位相差,변위 각상차 각,fasedifferens,przesunięcie fazowe,desfasagem tensão-correnteângulo de factor de potência,fasdifferens,相位移角相位差角
131-11-49,active factor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-11-49,عامل قدرة فعالة,"Wirkfaktor, m",active factor,factor de potencia activa,"facteur de puissance active, mfacteur de déphasage, m",fattore di potenza attiva,有効係数,유효 인자,"effektfaktor, cosinus phi",współczynnik mocy (2),fator de potência ativa,cos jeffektfaktor,有功因数
131-11-50,reactive factor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-11-50,عامل القدرة  غير الفعالة,"Blindfaktor, m",reactive factor,factor de potencia reactiva,"facteur de puissance réactive, m",fattore di potenza reattiva,無効係数,무효 인자,reaktiv effektfaktor,współczynnik mocy biernej reaktywnej,fator de potência reativa,reaktiv effektfaktor,无功因数
131-11-51,active current,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-11-51,تيار فعال,"Wirkstromstärke, fWirkstrom, m",active current,corriente activa,"courant actif, m",corrente attiva,有効電流,유효 전류,aktiv straum,prąd czynnyskładowa czynna prądu,corrente ativa,aktiv ström,有功电流
131-11-52,non-active current,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-11-52,تيار غير فعال,"Gesamtblindstromstärke, fGesamtblindstrom, m",non-active current,corriente no activa,"courant non actif, m",corrente non attiva,無効電流,비유효 전류,ikkje-aktiv straum,prąd biernyskładowa bierna prądu,corrente não-ativa,icke-aktiv ström,非有功电流
131-11-53,reactive current,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-11-53,تيار غير فعال,"Blindstromstärke, fBlindstrom, m",reactive current,corriente reactiva,"courant réactif, m",corrente reattiva,無効電流,무효 전류,reaktiv straum,prąd bierny reaktywnyskładowa bierna reaktywna prądu,corrente reativa,reaktiv ström,无功电流
131-11-54,inductive current,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-11-54,تيار حثى,"induktive Stromstärke, finduktiver Strom, m",inductive current,corriente inductiva,"courant inductif, m",corrente induttiva,誘導電流,유도 전류,induktiv straum,prąd indukcyjny,corrente indutiva,induktiv ström,电感性电流感性电流
131-11-55,capacitive current,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-11-55,تيار سعوى,"kapazitive Stromstärke, fkapazitiver Strom, m",capacitive current,corriente capacitiva,"courant capacitif, m",corrente capacitiva,容量性電流,용량성 전류,kapasitiv straum,prąd pojemnościowy,corrente capacitiva,kapacitiv ström,电容性电流容性电流
131-11-56,voltage (in circuit theory),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-11-56,,"elektrische Spannung (in der Netzwerktheorie), fSpannung (in der Netzwerktheorie), f",voltage (in circuit theory)electric tension (in circuit theory),tensión eléctrica (en teoría de circuitos)tensión (en teoría de circuitos),"tension électrique (en théorie des circuits), ftension (en théorie des circuits), f",,"電圧, <回路理論における>電位差, <回路理論における>","전압, <회로 이론>전기 장력, <회로 이론>",spenning,napięcie elektryczne (w teorii obwodów)napięcie (w teorii obwodów),"tensão elétrica, <em teoria de circuitos>",elektrisk spänning (i kretsteori),"电压, <电路理论中>"
131-11-57,active energy,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-11-57,الطاقة الفعالة,"Wirkenergie, fWirkarbeit, f",active energy,energía activa,"énergie active, f",energia attiva,有効エネルギー,유효 에너지,,energia czynna,energia ativa,,有功电能量有功电能
131-11-58,watt hour,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-11-58,وات.ساعةوحدة قياس الطاقة,"Wattstunde, f",watt hour,vatio hora,"wattheure, m",wattora,電力量,와트 시,,watogodzina,watt hora,,瓦特小时瓦时
131-12-01,resistive n-terminal element,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-12-01,عنصر مقاوم متعدد الأطراف بعدد n,"mehrpoliges Widerstandselement, nn-poliges Widerstandselement, n",resistive n-terminal element,elemento resistivo de n terminalesmultipolo resistivo,"multipôle résistif, m",multipolo resistivo,抵抗性n端子素子,저항성 n 단자 소자,resistivt fleirpola krinselement,element wielokońcówkowy rezystywnyelement n-końcówkowy rezystywny,multipolo resistivo,resistivt n-poligt kretselement,电阻性n端元件
131-12-02,resistive two-terminal element,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-12-02,عنصر مقاوم ثنائي الأطراف,"zweipoliges Widerstandselement, n",resistive two-terminal element,bipolo resistivoelemento resistivo de dos terminales,"bipôle résistif, m",bipolo resistivo,抵抗性２端子素子,저항성 2 단자 소자,resistivt topola krinselement,dwójnik rezystywny,bipolo resistivo,resistivt tvåpoligt kretselement,电阻性二端元件
131-12-03,ideal resistor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-12-03,مقاوم مثالى,"ohmscher Widerstand, midealer Widerstand, m",ideal resistor,resistencia ideal,"résistance idéale, f",resistore ideale,理想抵抗,이상 저항기,ideell resistans,rezystor idealnyopornik idealny,resistor ideal,ideal resistor,理想电阻器
131-12-04,resistance,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-12-04,المقاومةمقاومة التيار,"Widerstandswert, mWiderstand, mResistanz, <Verwandter Begriff: IEV 131-12-45> f",resistance,resistencia,"résistance, f",resistenza,"抵抗, <関連エントリー: IEV 131-12-45>",저항,,rezystancjaopór elektryczny,resistência,,"电阻, <相关条目: IEV 131-12-45>"
131-12-05,differential resistance,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-12-05,,"differentieller Widerstand, m",differential resistance,resistencia diferencial,"résistance différentielle, f",,微分抵抗,미분 저항,differensiell resistans,rezystancja różniczkowa,resistência diferencial,,微分电阻
131-12-06,conductance,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-12-06,الموصليةالقدرة على توصيل التيار الكهربائى,"Leitwert, mKonduktanz, f",conductance,conductancia,"conductance, f",conduttanza,"コンダクタンス, <関連エントリー: 131-12-53>",컨덕턴스전도도,,konduktancjaprzewodność elektryczna,condutância,,"电导, <相关条目: 131-12-53>"
131-12-07,differential conductance,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-12-07,,"differentieller Leitwert, mdifferentielle Konduktanz, f",differential conductance,conductancia diferencial,"conductance différentielle, f",,微分コンダクタンス,미분 컨덕턴스미분 전도도,differensiell konduktans,konduktancja różniczkowa,condutância diferencial,,微分电导
131-12-08,ideal diode,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-12-08,صمام ثنائى مثالى,"ideale Diode, f",ideal diode,diodo ideal,"diode idéale, f",diodo ideale,理想ダイオード,이상 다이오드,ideell diode,dioda idealna,díodo ideal,ideal diod,理想二极管
131-12-09,capacitive n-terminal element,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-12-09,,"mehrpoliges kapazitives Element, nn-poliges kapazitives Element, n",capacitive n-terminal element,multipolo capacitivo,"multipôle capacitif, m",,容量性n端子素子,축전성 n 단자 소자,fleirpola kapasitivt krinselement,element wielokońcówkowy pojemnościowyelement n-końcówkowy pojemnościowy,multipolo capacitivo,,电容性n端元件
131-12-10,capacitive two-terminal element,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-12-10,عنصر سعوي ثنائى الطرف,zweipoliges kapazitives Element,capacitive two-terminal element,bipolo capacitivoelemento capacitivo de dos terminales,"bipôle capacitif, m",bipolo capacitivo,容量性２端子素子,용량성 2 단자 소자,topola kapasitivt krinselement,dwójnik pojemnościowy,bipolo capacitivo,kapacitivt tvåpoligt kretselement,电容性二端元件
131-12-11,electric charge  (in circuit theory),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-12-11,,"elektrische Ladung (in der Netzwerktheorie), f",electric charge  (in circuit theory),carga eléctrica (en teoría de circuitos),"charge électrique  (en théorie des circuits), f",,"電荷, <回路理論における>","전하, <회로 이론>",elektrisk lading,ładunek elektryczny (w teorii obwodów),"carga elétrica, <de um bipolo capacitivo>",elektrisk laddning (i kretsteori),"电荷, <电路理论中>"
131-12-12,ideal capacitor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-12-12,مكثف مثالي,"idealer Kondensator, m",ideal capacitor,condensador ideal,"capacité idéale, f",condensatore ideale,理想キャパシタ理想コンデンサ,이상 축전기이상 커패시터,ideell kondensator,kondensator idealny,condensador ideal,ideal kondensator,理想电容器
131-12-13,capacitance,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-12-13,السعويةسعوية المكثف,"Kapazität, f",capacitance,capacidad,"capacité, f",capacità,静電容量,커패시턴스,,pojemność,capacidade,,电容
131-12-14,differential capacitance,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-12-14,,"differentielle Kapazität, f",differential capacitance,capacidad diferencial,"capacité différentielle, f",,微分静電容量,미분 커패시턴스,differensiell kapasitans,pojemność różniczkowa,capacidade diferencial,,微分电容
131-12-15,inductive m-terminal-pair element,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-12-15,,"induktives Element mit m Polpaaren, n",inductive m-terminal-pair element,elemento inductivo de m pares de terminales,"élément inductif à m paires de bornes, m",,誘導性m端子対素子,유도성 m 단자 쌍 소자,induktivt fleirpola krinselement,wielowrotnik indukcyjnym-wrotnik indukcyjny,multipolo indutivo,induktivt m-polparelement,电感性m端对元件
131-12-16,inductive two-terminal element,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-12-16,عنصر حثى ثنائى الطرف,"zweipoliges induktives Element, n",inductive two-terminal element,bipolo inductivoelemento inductivo de dos terminales,"bipôle inductif, m",bipolo induttivo,誘導性２端子素子,유도성 2 단자 소자,induktivt topola krinselement,dwójnik indukcyjny,bipolo indutivo,induktivt tvåpoligt kretselement,电感性二端元件
131-12-17,"total flux, <in circuit theory>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-12-17,"تدفق كلي, <في نظرية الدوائر>فيض كلى","magnetischer Gesamtfluss, <in der Netzwerktheorie> mABGELEHNT: verketteter Fluss, <in der Netzwerktheorie> m","total flux, <in circuit theory>DEPRECATED: linked flux, <in circuit theory>",flujo concatenado,"flux total, <théorie des circuits> mDÉCONSEILLÉ: flux totalisé, <théorie des circuits> m",flusso concatenato,"全磁束, <回路理論>","총 자속, <회로 이론>",,"strumień całkowity, <w teorii obwodów> m",fluxo totalizado,,"总通量, <电路理论>"
131-12-18,ideal inductor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-12-18,محث مثالي,"ideale Spule, fidealer Induktor, m",ideal inductor,inductancia ideal,"inductance idéale, f",induttore ideale,理想インダクタ,이상 인덕터,ideell induktor,"cewka indukcyjna idealna, f",indutor ideal,ideal induktor,理想电感器
