term_id,term,term_url,ar,cs,de,en,fi,fr,it,ja,ko,no,pl,pt,sv,zh
741-01-11,"component, <Internet of Things>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=741-01-11,"مكون, <الأشياء المتعلقة بشبكة الإنترنت>عنصر","komponenta, <Internet věcí>","Komponente, <Internet der Dinge> f","component, <Internet of Things>",komponenttiosa,"composant, <Internet des Objets> m","componente, <Internet delle Cose>","構成要素, ＜IoT＞","구성요소, <사물 인터넷>","komponent, <Internett av ting>","składnik, <internetu rzeczy> melement, <internetu rzeczy> m","componente, <Internet das Coisas>","komponent, n","组件, <物联网>"
741-01-12,confidentiality,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=741-01-12,سريةخصوصية,důvěrnost,"Vertraulichkeit, f",confidentiality,luottamuksellisuus,"confidentialité, f",confidenzialità,機密性,기밀성비밀보장,konfidensialitet,"poufność, f",confidencialidade,"sekretess, nkonfidentialitet, n",保密性
741-01-13,data store,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=741-01-13,مخزن البيانات,úložiště dat,"Datenspeicher, m",data store,tietosäilö,"dépôt de données, m",banca dati,データ格納,데이터 저장소,datalager,"magazyn danych, m",armazenamento de dados,"datalagringsplats, ndatalager, t",数据存储
741-01-14,digital entity,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=741-01-14,هوية رقميةكيان رقمى,digitální entita,"digitale Entität, f",digital entity,digitaalinen entiteetti,"entité numérique, f",entità digitale,デジタルエンティティ,디지털 개체디지털 엔티티,digital enhet,"jednostka cyfrowa, f",entidade digital,"digital enhet, ndigital entitet, ndigitalt objekt, t",数字实体
741-01-15,digital user,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=741-01-15,مستخدم رقمي,digitální uživatel,"digitaler Benutzer, m",digital user,digitaalinen käyttäjä,"utilisateur numérique, m",utilizzatore digitale,デジタルユーザー,디지털 사용자,digital bruker,"użytkownik cyfrowy, m",utilizador digital,"digital användare, n",数字用户
741-01-16,discovery service,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=741-01-16,خدمة إكتشاف,služba vyhledávání,"Suchdienst, m",discovery service,hakupalvelu,"service d'investigation informatique, m",servizio di interrogazione,ディスカバリーサービス,발견 서비스,søketjeneste,"usługa wyszukiwania, fusługa odkrywcza, f",serviço de investigação informática,"upptäckts-tjänst, nsöktjänst, n",探索服务
741-01-17,endpoint,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=741-01-17,نقطة النهاية,koncový bod,"Endpunkt, m",endpoint,päätelaite,"interfaceur, m",terminale,エンドポイント,끝점,endepunkt,"punkt końcowy, melement końcowy, m",terminal,"ändpunkt, nnätverks-ansluten komponent, nslutpunkt, n",终端
741-01-18,entity,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=741-01-18,كيانهوية,entita,"Entität, f",entity,entiteetti,"entité, f",entità,エンティティ,개체엔티티,enhet,"jednostka, f",entidade,"enhet, nentitet, nobjekt, t",实体
741-01-19,functional component,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=741-01-19,مكون وظيفي,funkční komponenta,"funktionale Komponente, f",functional component,toiminnallinen komponenttitoiminnallinen osa,"composant fonctionnel, m",componente funzionale,機能構成要素,기능 요소기능 부품,funksjonell komponent,"składnik funkcjonalny, melement funkcjonalny, m",componente funcional,"funktionell komponent, n",功能组件
741-01-20,human user,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=741-01-20,مستخدم بشري,lidský uživatel,"menschlicher Benutzer, m",human user,henkilökäyttäjä,"utilisateur humain, m",utilizzatore umano,ヒューマンユーザー,인간 사용자,menneskelig bruker,"użytkownik osoba, mużytkownik ludzki, m",utilizador humano,"mänsklig användare, n",人类用户
741-01-21,"identifier, <Internet of Things>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=741-01-21,"معرف النظام, <الأشياء المتعلقة بشبكة الإنترنت>معرف","identifikátor, <Internet věcí>","Identifikator, <Internet der Dinge> m","identifier, <Internet of Things>",tunniste,"identificateur, <Internet des Objets> m","identificatore, <Internet delle Cose>","識別子, ＜IoT＞","식별자, <사물인터넷>","identifikator, <Internett av ting>","identyfikator, <internetu rzeczy> m","identificador, <Internet das Coisas>","identifierare, <Sakernas internet> nidentitet, <Sakernas internet> nbeteckning, <Sakernas internet> n","识别码, <物联网>"
741-01-22,identity context,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=741-01-22,بيئة الهويةسياق الهوية,kontext identity,"Identitätskontext, m",identity context,identiteettikonteksti,"contexte d'identité, m",contesto di identità,アイデンティティコンテキスト,식별 콘텍스트,identitetskontekst,"otoczenie identyfikacyjne, nkontekst identyfikacyjny, m",contexto de identidade,"identitetskontext, tidentitets-sammanhang, t",身份溯源
741-01-23,"interface, <Internet of Things>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=741-01-23,"وحدة تداخل, <الأشياء المتعلقة بشبكة الإنترنت>وحدة بينية","rozhraní, <Internet věcí>","Schnittstelle, <Internet of Things> f","interface, <Internet of Things>",rajapinta,"interface, <Internet des Objets> f","interfaccia, <Internet delle Cose>","インターフェイス, ＜IoT＞","인터페이스, <사물인터넷>접점","grensesnitt, <Internett av ting>","interfejs, <internetu rzeczy> m","interface, <Internet das Coisas>","gränssnitt, <Sakernas internet> t","接口, <物联网>界面, <物联网>"
741-01-24,interoperability,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=741-01-24,التوافقيةقابلية للتشغيل مع اجهزة متنوعة,interoperabilita,"Interoperabilität, f",interoperability,yhteentoimivuus,"interopérabilité, f",interoperabilità,相互運用性,상호운용성,interoperabilitet,"interoperacyjność, fmożliwość współpracy, f",interoperabilidade,"interoperabilitet, nsamverkan, n",互通性
741-01-25,"network, <Internet of Things>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=741-01-25,"شبكة, <الأشياء المتعلقة بشبكة الإنترنت>","síť, <Internet věcí>","Netzwerk, <Internet der Dinge> n","network, <Internet of Things>",tietoverkko,"réseau, <Internet des Objets> m","rete, <Internet delle Cose>","ネットワーク, ＜IoT＞","망, <사물인터넷>","nettverk, <Internett av ting>","sieć, <internetu rzeczy> f","rede, <Internet das Coisas>","nätverk, <Sakernas internet> tkommunikationsnät, <Sakernas internet> t","网络, <物联网>"
741-01-26,physical entity,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=741-01-26,كيان ماديهوية مادية,fyzická entita,"physische Entität, f",physical entity,fyysinen entiteetti,"entité physique, f",entità fisica,物理エンティティ,물리 실체,fysisk enhet,"jednostka fizyczna, f",entidade física,"fysisk enhet, nfysisk entitet, nfysiskt objekt, t",物理实体
741-01-27,reference architecture,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=741-01-27,مخطط مرجعيهيكل تنظيمي مرجعي,referenční architektura,"Referenzarchitektur, f",reference architecture,viitearkkitehtuuri,"architecture de référence, f",architettura di riferimento,リファレンスアーキテクチャ,참조 아키텍처참조 구조,referansearkitektur,"architektura odniesienia, farchitektura referencyjna, f",arquitetura de referência,"referens-arkitektur, nreferens-struktur, nregelverk, t",参考架构
741-01-28,service,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=741-01-28,خدمة,služba,"Dienst, m",service,palvelu,"service, m",servizio,サービス,서비스,service,"usługa, f",serviço,"tjänst, nservice, n",服务
741-01-29,service provider,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=741-01-29,مقدم خدمةمزود خدمة,poskytovatel služeb,"Dienstanbieter, m",service provider,palvelun tarjoaja,"fournisseur de service, m",fornitore di servizio,サービスプロバイダー,서비스 제공자,tjenesteleverandør,"dostawca usług, musługodawca, m",fornecedor de serviço,"tjänsteleverantör, ntjänste-tillhandahållare, n",服务供应方
741-01-30,stakeholder,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=741-01-30,صاحب المصلحةالطرف المعنى بالأمر,zúčastněná strana,"Stakeholder, m",stakeholder,osakasasianosainensidosryhmä,"partie prenante, f",soggetto principale,ステークホルダー,이해 관계자,interessent,"interesariusz, m",parte interessada,"intressent, n",利益相关方
741-01-31,tag,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=741-01-31,شعار,tag,"Tag, n",tag,merkintämerkki,"balise, f",etichetta,タグ,꼬리표,stikkord,"znacznik, mtag, m",rótulotag,"etikett, nmärke, tmärkning, ntagg, n",标签
741-01-32,trustworthiness,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=741-01-32,موثوق بهجدير بالثقة,důvěryhodnost,"Vertrauenswürdigkeit, f",trustworthiness,uskottavuusluotettavuus,"gage de confiance, m",affidabilità,トラストワージネス信用性,혁신성,troverdighet,"ufność, fsolidność, f",garantia de confiança,"trovärdighet, npålitlighet, ntillitsfullhet, n",信任性
741-01-33,virtual entity,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=741-01-33,كيان إفتراضىهوية افتراضية,virtuální entita,"virtuelle Entität, f",virtual entity,virtuaalinen entiteetti,"entité virtuelle, f",entità virtuale,仮想エンティティ,가상 실체디지털 실체독립체,virtuell enhet,"jednostka wirtualna, f",entidade virtual,"virtuell enhet, nvirtuell entitet, nvirtuellt objekt, t",虚拟实体
741-01-500,"information, <Internet of Things>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=741-01-500,"معلومات, <الأشياء المتعلقة بشبكة الإنترنت>","informace, <Internet věcí>","Information, <Internet der Dinge> f","information, <Internet of Things>",informaatio,"information, <Internet des Objets> f","informazione, <Internet delle Cose>","情報, ＜IoT＞","정보, <사물인터넷>","informasjon, <Internett av ting>","informacja, <internetu rzeczy> f","informação, <Internet das Coisas>","information, <Sakernas internet> n","信息, <物联网>"
741-01-501,data centre,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=741-01-501,مركز بيانات,datové centrum,"Datenzentrum, n",data centre,datakeskus,"centre de données, m",centro dati,データセンター,데이터 센터,datasenter,"centrum danych, n pl",centro de dados,"datacenter, t",数据中心
741-02-01,Internet of Things,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=741-02-01,الأشياء المتعلقة بشبكة الإنترنت,Internet věcíIoT,"Internet der Dinge, nIoT",Internet of ThingsIoT,esineiden internetIoT,"Internet des Objets, mIdO, m",Internet delle CoseIoT,IoT,사물 인터넷,Internett av ting (IoT),"internet rzeczy, minternet urządzeńIR",Internet das CoisasIoT,"Sakernas internet, tInternet of Things, tIoT, t",物联网
741-02-02,"actuator, <Internet of Things>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=741-02-02,"مشغل, <الأشياء المتعلقة بشبكة الإنترنت>","ovladač, <Internet věcí>","Aktor, <Internet der Dinge> m","actuator, <Internet of Things>",toimilaite,"actionneur, <Internet des Objets> m","attuatore, <Internet delle Cose>","アクチュエータ, ＜IoT＞","작동기, <사물인터넷>","aktuator, <Internett av ting>","nastawnik, <internetu rzeczy> maktuator, <internetu rzeczy> m","atuador, <Internet das Coisas>","ställdon, <Sakernas internet> taktuator, <Sakernas internet> nstyrenhet, <Sakernas internet> n","执行器, <物联网>"
741-02-03,IoT conceptual model,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=741-02-03,نموذج مفاهيمي خاص بشبكة الإنترنت,konceptuální model IoT,"konzeptionelles IoT-Modell, n",IoT conceptual model,käsitteellinen IoT-malli,"modèle conceptuel IdO, m",modello concettuale di Internet delle Cose,IoT概念モデル,사물인터넷 개념모델IoT 개념모델,IoT konseptuell modell,"model koncepcyjny IR, m",modelo conceitual IoT,"konceptuell IoT-modell, n",物联网概念模型
741-02-04,IoT device,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=741-02-04,نبيطة خاصة بشبكة الإنترنتجهاز خاص بشبكة الإنترنت,zařízení IoT,"IoT-Gerät, n",IoT device,IoT-laite,"dispositif IdO, m",dispositivo di Internet delle Cose,IoTデバイス,사물인터넷 장치IoT 장치,IoT-enhet,"urządzenie IR, n",dispositivo IoT,"IoT-utrustning, nIoT-enhet, nIoT-anordning, n",物联网设备
741-02-05,IoT domain,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=741-02-05,نطاق خاص بشبكة الإنترنت,doména IoT,"IoT-Domäne, f",IoT domain,IoT-toimialue,"domaine IdO, m",dominio di Internet delle Cose,IoTドメイン,사물인터넷 영역IoT 영역,IoT-domene,"domena IR, mobszar IR, f",domínio IoT,"IoT-domän, nIoT-område, t",物联网域
741-02-06,IoT gateway,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=741-02-06,بوابة خاصة بشبكة الإنترنتمدخل خاص بشبكة الإنترنت,brána IoT,"IoT-Gateway, n",IoT gateway,IoT-yhdyskäytävä,"passerelle IdO, f",porta di Internet delle Cose,IoTゲートウェイ,사물인터넷 관문IoT 관문,IoT-gateway,"bramka IR, f",gateway IoTpassarela,"IoT-gateway, nIoT-brygga, n",物联网网关
741-02-07,IoT system,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=741-02-07,نظام وظيفى خاص بشبكة الإنترنت,systém IoT,"IoT-System, n",IoT system,IoT-järjestelmä,"système IdO, m",sistema di Internet delle Cose,IoTシステム,사물인터넷 시스템IoT 시스템,IoT-system,"system IR, m",sistema IoT,"IoT-system, t",物联网系统
741-02-08,IoT user,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=741-02-08,مستخدم خاص بشبكة الإنترنت,uživatel IoT,"IoT-Benutzer, m",IoT user,IoT-käyttäjä,"utilisateur IdO, m",utilizzatore di Internet delle Cose,IoTユーザー,사물인터넷 사용자IoT 사용자,IoT-bruker,"użytkownik IR, m",utilizador IoT,"IoT-användare, n",物联网用户
741-02-09,"sensor, <Internet of Things>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=741-02-09,"خاص بشبكةا الإنترنت, <الأشياء المتعلقة بشبكة الإنترنت>","senzor, <Internet věcí>","Sensor, <Internet der Dinge> m","sensor, <Internet of Things>",anturi,"capteur, <Internet des Objets> m","sensore, <Internet delle Cose>","センサー, ＜IoT＞","감지기, <사물인터넷>센서","sensor, <Internett av ting>","czujnik, <internetu rzeczy> msensor, <internetu rzeczy> m","sensor, <Internet das Coisas>","sensor, <Sakernas internet> ngivare, <Sakernas internet> n","传感器, <物联网>"
741-02-10,IoT trustworthiness,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=741-02-10,أمانة خاصة بشبكة الإنترنتشبكة الإنترنت جديره بالثقة,důvěryhodnost IoT,"IoT-Vertrauenswürdigkeit, f",IoT trustworthiness,IoT-uskottavuusIoT-luotettavuus,"gage de confiance IdO, m",affidabilità di Internet delle Cose,IoTトラストワージネスIoTの信用性,사물인터넷 확실성IoT 확실성,IoT-troverdighet,"wiarygodność IR, fsolidność IR, f",garantia de confiança IoT,"IoT-trovärdighet, nIoT-pålitlighet, nIoT-tillitsfullhet, n",物联网信任性
741-02-500,"reliability, <Internet of Things>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=741-02-500,"وثوقية, <الأشياء المتعلقة بشبكة الإنترنت>إعتمادية","spolehlivost, <Internet věcí>","Zuverlässigkeit, <Internet der Dinge> f","reliability, <Internet of Things>",luotettavuus,"fiabilité, <Internet des Objets> f","affidabilità, <Internet delle Cose>","信頼性, ＜IoT＞","신뢰성, <사물인터넷>","pålitelighet, <Internett av ting>","niezawodność, <internetu rzeczy> fwiarygodność, <internetu rzeczy> f","fiabilidade, <Internet das Coisas>","pålitlighet, <Sakernas internet> ntillförlitlighet, <Sakernas internet> n","可靠性, <物联网>"
741-02-501,computational element,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=741-02-501,عنصر حسابي,výpočetní prvek,"Rechenelement, n",computational element,…,"élément de calcul, m",elemento di calcolo,計算エレメント計算要素,계산요소,beregningselement,"element obliczeniowy, m",elemento de cálculo,"beräknings-element, t",计算元素
