term_id,term,term_url,ar,de,en,es,fi,fr,it,ja,ko,pl,pt,sr,sv,zh
521-01-11,total angular momentum quantum number,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=521-01-11,عدد كمى خاص بكمية التحرك الزاوي الكلي للألكترون,"Gesamtdrehimpulsquantenzahl, f",total angular momentum quantum number,número cuántico interno,kokonaisimpulssimomentin kvanttiluku,"nombre quantique interne, m",numero quantico interno,総角運動量量子数,전각 운동량 양자수,liczba kwantowa całkowitego momentu kątowego,(número quântico de) momento angular total,"квантни број укупног угаоног момента, м јдунутрашњи квантни број, м јд",kvanttal för totalt rörelsemängdsmoment,总角动量量子数
521-01-12,energy level (of a particle),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=521-01-12,مستوى الطاقة(لجسيم),"Energieniveau, n",energy level (of a particle),nivel de energía (de una partícula)nivel energético (de una partícula),energiataso,"niveau d'énergie, m",livello di energia,"エネルギー準位, <粒子の>","에너지 준위, <입자>",poziom energetyczny (cząstki),nível de energia,"енергетски ниво, <честице> м јд",energinivå,"能级, <粒子的>"
521-01-13,energy-level diagram,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=521-01-13,مخطط مستوى الطاقة,"Energieniveau-Diagramm, n",energy-level diagram,diagrama energético,energiatasokaavio,"diagramme énergétique, m",diagramma dei livelli di energia,エネルギー準位図,에너지 준위 도표,wykres poziomów energetycznych (cząstek),diagrama de níveis de energiadiagrama energético,"дијаграм енергетских нивоа, м јд",energinivådiagram,能级图
521-01-14,Pauli-Fermi exclusion principle,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=521-01-14,مبدا الاستبعاد لبولى -فيرمى,"Pauli-Prinzip, n",Pauli-Fermi exclusion principlePauli principle,principio de exclusión de Pauli-Fermi,Paulin–Fermin kieltosääntö,"principe d'exclusion de Pauli-Fermi, m",principio di esclusione di Pauli-Fermi,パウリの原理パウリ–フェルミの排他律,파울리 페르만 배타 원리,zasada Pauliego-Fermiego zakaz Pauliego,princípio de exclusão de Pauli-Fermi,"Паули–Фермијев принцип искључења, м јдПаулијев принцип, м јд",Pauli-Fermis princip,泡利-费米不相容原理泡利原理
521-01-15,Fermi-Dirac statistics,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=521-01-15,احصائيات فيرمى-ديارك,"Fermi-Dirac-Statistik, fFermi-Statistik, f",Fermi-Dirac statisticsFermi statistics,estadística de Fermiestadística de Fermi-Dirac,Fermin–Diracin statistiikkaFermin statistiikka,"statistique de Fermi-Dirac, fstatistique de Fermi, f",statistiche di Fermi-Dirac,フェルミ–ディラック統計フェルミ統計,페르미ㆍ디락 통계,rozkład Fermiego-Diraca,estatística de Fermi-Diracestatística de Fermi,"Ферми–Диракова статистика, ж јд",fermistatistik,费米-狄拉克统计费米统计
521-01-16,Fermi-Dirac function,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=521-01-16,دالة فيرمى-ديارك,"Fermi-Dirac-Funktion, f",Fermi-Dirac function,función de Fermi-Dirac,Fermin–Diracin funktio,"fonction de Fermi-Dirac, f",funzione  di Fermi-Dirac,フェルミ–ディラック関数,페르미ㆍ 디락 함수,funkcja Fermiego-Diraca,função de Fermi-Dirac,"Ферми–Диракова функција, ж јд",Fermi-Dirac-funktion,费米-狄拉克函数
521-01-17,Fermi level,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=521-01-17,مستوى فيرمى للطاقة,"Fermi-Niveau, n",Fermi level,nivel de Fermi,fermitaso,"niveau de Fermi, m",livello di Fermi,フェルミ準位,페르미 레벨,poziom Fermiego,nível de Fermi,"Фермијев ниво, м јд",ferminivå,费米能级
521-01-18,lone electron,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=521-01-18,الكترون  وحيد,"Einzelelektron, n",lone electron,electrón suelto,yksinäinen elektroni,"électron célibataire, m",elettrone singolo,孤立電子,비공유전자고립전자,elektron samotny,electrão solitário,"усамљени електрон, м јд",ensam elektron,孤电子
521-01-19,Fermi-Dirac-Sommerfeld velocity distribution law,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=521-01-19,قانون توزيع السرعات لفيرمى-ديارك -سومرفيلد,"Fermi-Dirac-Sommerfeld-Geschwindigkeitsverteilung, f",Fermi-Dirac-Sommerfeld velocity distribution law,ley de distribución de las velocidades de Fermi-Dirac-Sommerfeld,Fermi–Dirac–Sommerfeldin nopeusjakauma,"loi de distribution des vitesses de Fermi-Dirac-Sommerfeld, f",legge di distribuzione delle velocità di Fermi-Dirac-Sommerfeld,フェルミ–ディラック–ゾンマーフェルト速度分布則,페르미ㆍ 디락ㆍ 좀머펠트 속도 분배 법칙,prawo rozkładu prędkości Fermiego-Diraca-Sommerfelda,lei de distribuição das velocidades de Fermi-Dirac-Sommerfeld,"Ферми–Дирак–Зомерфелдов закон, м јд",fermifördelning,费米-狄拉克-索末菲速度分布率
521-01-20,photoelectric effect,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=521-01-20,تأثير كهروضوئي,"photoelektrischer Effekt, mPhotoeffekt, m",photoelectric effect,efecto fotoeléctrico,valosähköinen ilmiö,"effet photoélectrique, m",effetto fotoelettrico,光電効果,광전 효과,zjawisko fotoelektryczne,efeito fotoeléctrico,"фотоелектрични ефекат, м јд",fotoelektrisk effekt,光电效应
521-01-21,photovoltaic effect,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=521-01-21,تأثير الفولتى ضوئى فى توليد الكهرباء,"Sperrschicht-Photoeffekt, mphotovoltaischer Effekt, m",photovoltaic effect,efecto fotovoltaico,valojänniteilmiö,"effet photovoltaïque, m",effetto fotovoltaico,光起電力効果,광 기전 효과,zjawisko fotowoltaiczne,efeito fotovoltaico,"фотонапонски ефекат, м јд",fotoelektromotorisk effekt,光生伏打效应光伏效应
521-01-22,photoconductive effect,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=521-01-22,تأثير الموصلية الضوئية,"Photoleiteffekt, m",photoconductive effect,efecto fotoconductivo,valojohtavuusilmiö,"effet photoconductif, m",effetto fotoconduttivo,光導電効果,광도전 효과,zjawisko fotokonduktywne,efeito fotocondutivo,"фотопроводни ефекат, м јд",fotokonduktiv effekt,光电导效应
521-01-23,photoelectromagnetic effect,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=521-01-23,تأثير كهرومغناطيسى ضوئي,"photoelektromagnetischer Effekt, m",photoelectromagnetic effect,efecto fotoelectromagnético,valosähkömagneettinen ilmiö,"effet photoélectromagnétique, m",effetto fotoelettromagnetico,光電磁効果,광전자기 효과,zjawisko fotomagnetoelektryczne,efeito fotoelectromagnético,"фотоелектромагнетски ефекат, м јд",fotoelektromagnetisk effekt,光磁电效应
521-02-01,semiconductor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=521-02-01,شبة موصل,"Halbleiter, m",semiconductor,semiconductor,puolijohde,"semiconducteur, m",semiconduttore,半導体,반도체,półprzewodnik,semicondutor,"полупроводник, м јд",halvledare,半导体
521-02-02,single-element semiconductor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=521-02-02,شبه موصل أحادى العنصر,"Einzelelement-Halbleiter, m",single-element semiconductor,semiconductor elemental,yksiaineinen puolijohde,"semiconducteur élémentaire, m",semiconduttore elementare,単元素半導体,단소자 반도체,półprzewodnik pierwiastkowy,semicondutor elementar,"једноелементни полупроводник, м јд",ettelementshalvledare,单元素半导体
521-02-03,compound semiconductor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=521-02-03,شبة موصل مركب,"Verbindungshalbleiter, m",compound semiconductor,semiconductor compuesto,yhdistepuolijohde,"semiconducteur composé, m",semiconduttore composto,化合物半導体,컴파운드 반도체합성물 반도체,półprzewodnik złożony,semicondutor composto,"полупроводничко једињење, с јд",sammansatt halvledare,化合物半导体
521-02-04,impurity,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=521-02-04,شوائب,"Störstelle, f",impurity,impurezas,epäpuhtaus,"impureté, f",impurità,不純物,불순물,domieszka zanieczyszczenie,impureza,"нечистоћа, ж јдпримеса, ж јдатоми примеса у једноелементном полупроводнику, м мн",störämne,杂质
521-02-05,impurity activation energy,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=521-02-05,طاقة تنشيط الشوائب,"Störstellen-Aktivierungsenergie, f",impurity activation energy,energía de activación de impurezas,epäpuhtausatomin aktivointienergia,"énergie d'activation des impuretés, f",energia di attivazione delle impurità,不純物活性化エネルギー,불순물 활성화 에너지,energia aktywacji domieszek,energia de activação das impurezas,"енергија активације примесе, ж јд",aktiveringsenergi för störatom,杂质激活能
521-02-06,ionic semiconductor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=521-02-06,شبة موصل ايونى,"Ionenhalbleiter, m",ionic semiconductor,semiconductor iónico,ionipuolijohde,"semiconducteur ionique, m",semiconduttore ionico,イオン性半導体,이온 반도체,półprzewodnik jonowy,semicondutor iónico,"јонски полупроводник, м јд",jonhalvledare,离子半导体
521-02-07,intrinsic semiconductor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=521-02-07,شبه موصل حقيقي/طبيعي,"Eigenhalbleiter, m",intrinsic semiconductor,semiconductor intrínseco,itseispuolijohdeI-tyyppinen puolijohde,"semiconducteur intrinsèque, m",semiconduttore intrinseco,真性半導体,진성 반도체,półprzewodnik samoistny,semicondutor intrínseco,"сопствени полупроводник, м јд",egen(halv)ledareI-ledare,本征半导体
521-02-08,extrinsic semiconductor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=521-02-08,شبه موصل  مطعم,"Störstellen-Halbleiter, m",extrinsic semiconductor,semiconductor extrínseco,seostettu puolijohde,"semiconducteur extrinsèque, m",semiconduttore estrinseco,外因性半導体,불순물 반도체외인성 반도체,półprzewodnik niesamoistny,semicondutor extrínseco,"полупроводник са примесама, м јд",stör(halv)ledare,非本征半导体
521-02-09,N-type semiconductor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=521-02-09,شبه موصل من النوع N,"N-Halbleiter, m",N-type semiconductor,semiconductor tipo N,N-tyyppinen puolijohde,"semiconducteur type N, m",semiconduttore di tipo N,Ｎ形半導体,엔형 반도체N형 반도체,półprzewodnik typu N,semicondutor de tipo N,"полупроводник типа N, м јд",N-ledare,N型半导体
521-02-10,P-type semiconductor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=521-02-10,شبه موصل من النوع P,"P-Halbleiter, m",P-type semiconductor,semiconductor tipo P,P-tyyppinen puolijohde,"semiconducteur type P, m",semiconduttore di tipo P,Ｐ形半導体,피형 반도체P형 반도체,półprzewodnik typu P,semicondutor de tipo P,"полупроводник типа P, м јд",P-ledare,P型半导体
521-02-11,compensated semiconductor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=521-02-11,شبة موصل معوض,"Kompensations-Halbleiter, m",compensated semiconductor,semiconductor compensado,kompensoitu puolijohde,"semiconducteur compensé, m",semiconduttore compensato,補償形半導体,보상 반도체,półprzewodnik skompensowany,semicondutor compensado,"компензовани полупроводник, м јд",kompenserad halvledare,补偿半导体
521-02-12,non-degenerate semiconductor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=521-02-12,شبه موصل ضعيف الناقلية,"nichtentarteter Halbleiter, m",non-degenerate semiconductor,semiconductor no degenerado,degeneroitumaton puolijohde,"semiconducteur non dégénéré, m",semiconduttore non  degenere,非縮退形半導体,비축퇴 반도체,półprzewodnik niezdegenerowany,semicondutor não degenerado,"недегенерисани полупроводник, м јд",icke-degenerad halvledare,非简并半导体
521-02-13,degenerate semiconductor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=521-02-13,شبه موصل عالي الناقلية,"entarteter Halbleiter, m",degenerate semiconductor,semiconductor degenerado,degeneroitunut puolijohde,"semiconducteur dégénéré, m",semiconduttore degenere,縮退形半導体,축퇴 반도체,półprzewodnik zdegenerowany,semicondutor degenerado,"дегенерисани полупроводник, м јд",degenererad halvledare,简并半导体
521-02-14,conduction electron,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=521-02-14,الكترون توصيل,"Leitungselektron, n",conduction electron,electrones de conducción,johtavuuselektroni,"électron de conduction, m",elettrone di conduzione,伝導電子,전도 전자,elektron przewodzenia,electrões de condução,"проводни електрон, м јд",ledningselektron,传导电子
521-02-15,conduction current,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=521-02-15,تيار توصيل,"Leitungsstrom, m",conduction current,corriente de conducción,johtavuusvirta,"courant de conduction, m",corrente di conduzione,伝導電流,전도 전류,prąd przewodzenia,corrente de condução,"струја провођења, ж јд",ledningsström,传导电流
521-02-16,conductor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=521-02-16,موصل,"Leiter, m",conductor,conductor,johde,"conducteur, m",conduttore,導体,도체,przewodnik,condutor,"проводник, м јд",ledare,导体
521-02-17,hole,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=521-02-17,ثقب,"Loch, nDefektelektron, n",hole,hueco,aukko,"trou, m",lacuna,正孔,정공,dziura,buraco,"шупљина, ж јд",hål,空穴
521-02-18,hole conduction,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=521-02-18,توصيل بالدقائق الموجبة,"Löcherleitung, f",hole conduction,conducción por huecos,aukkojohtavuus,"conduction par trous, f",conduzione tramite buchi,ホール伝導,정공 전도,przewodzenie dziurowe,condução por buracos,"провођење помоћу шупљина, с јд",hålledning,空穴导电
521-02-19,electron conduction,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=521-02-19,توصيل الكترونى,"Elektronenleitung, f",electron conduction,conducción por electrones,elektronijohtavuus,"conduction par électrons, f",conduzione tramite elettroni,電子伝導,전자 도전,przewodzenie elektronowe,condução por electrões,"провођење помоћу електрона, с јд",elektronledning,电子导电
521-02-20,intrinsic conduction,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=521-02-20,توصيل أصيل,"Eigenleitung, f",intrinsic conduction,conducción intrínseca,itseisjohtavuus,"conduction intrinsèque, f",conduzione intrinseca,真性伝導,진성 전도,przewodzenie samoistne,condução intrínseca,"сопствено провођење, с јд",egenledningI-ledning,本征导电
521-02-21,ionic conduction,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=521-02-21,توصيل ايونى,"Ionenleitung, f",ionic conduction,conducción iónica,ionijohtavuus,"conduction ionique, f",conduzione ionica,イオン伝導,이온 전도,przewodzenie jonowe,condução iónica,"јонско провођење, с јд",jonledning,离子导电
521-02-22,conduction band,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=521-02-22,نطاق توصيل,"Leitungsband, n",conduction band,banda de conducción,johtavuusvyö,"bande de conduction, f",banda di conduzione,伝導帯,전도 대,pasmo przewodzenia,banda de condução,"проводна зона, ж јд",ledningsband,导带
521-02-23,valence band,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=521-02-23,نطاق الكترونات التكافؤ,"Valenzband, n",valence band,banda de valencia,valenssivyö,"bande de valence, f",banda di valenza,価電子帯,가전자 대,pasmo walencyjne,banda de valência,"валентна зона, ж јд",valensband,价带
521-02-24,energy gap,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=521-02-24,ثغرة طاقة,"Energielücke, f",energy gap,separación energética,energiavyöväli,"écart énergétique, m",salto di energia,エネルギーギャップ,에너지 갭,odstęp energetyczny,separação energética,"енергетски процеп, м јд",energigap,能隙
521-02-25,energy band,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=521-02-25,نطاق طاقة,"Bloch-Energieband, n",energy bandBloch band,banda de Blochbanda de energía,energiavyöBlochin vyö,"bande d'énergie (1), fbande de Bloch, f",banda di energiabanda di Bloch,エネルギー帯ブロッホ帯,에너지 구간,pasmo energetyczne pasmo Blocha,banda de energiabanda de Bloch,"енергетска зона, ж јдБлохова зона, ж јд",energiband,能带布洛赫带
521-02-26,energy band (in a semiconductor),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=521-02-26,نطاق طاقة (فى شبة موصل),"Energieband, <in einem Halbleiter> n",energy band (in a semiconductor),banda de energía (en un semiconductor),energiavyö,"bande d'énergie (dans un semiconducteur) (2), f",banda di energia,"エネルギー帯, <半導体中の>","에너지 구간, <반도체>에너지 대, <반도체>",pasmo energetyczne (w półprzewodniku),banda de energia (num semicondutor),"енергетска зона, <у полупроводнику> ж јд",energiband (i halvledare),"能带, <半导体中>"
521-02-27,partially occupied band,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=521-02-27,نطاق طاقة مشغول جزئي,"teilweise besetztes Band, n",partially occupied band,banda parcialmente ocupada,vajaa energiavyö,"bande partiellement occupée, f",banda occupata parzialmente,部分占有帯,부분 점유대,pasmo zapełnione częściowo,banda parcialmente ocupada,"делимично заузета зона, ж јд",delvis besatt band,部分占据带
521-02-28,excitation band,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=521-02-28,نطاق استثارة,"Anregungsband, n",excitation band,banda de excitación,viritysvyö,"bande d'excitation, f",banda di eccitazione,励起帯,여기 대역,pasmo pobudzenia,banda de excitação,"зона екситације, ж јдзона побуђења, ж јд",excitationsband,激发带
521-02-29,permitted band,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=521-02-29,نطاق مسموح,"erlaubtes Band, n",permitted band,banda permitida,sallittu energiavyö,"bande permise, f",banda permessa,許容帯,허용 대역허용 밴드,pasmo dozwolone,banda permitida,"дозвољена зона, ж јд",tillåtet band,允带
521-02-30,forbidden band,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=521-02-30,نطاق ممنوع,"verbotenes Band, n",forbidden band,banda reservada,kielletty energiavyö,"bande interdite, f",banda vietata,禁制帯,금지 대,pasmo zabronione,banda proibida,"забрањена зона, ж јд",förbjudet band,禁带
521-02-31,insulant,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=521-02-31,مادة عازلة,"isolierendes Medium (in der Halbleitertechnik), n",insulant,aislante,eriste,"isolant, m",isolante,絶縁体,절연체,izolator,isolante,"изолатор, м јд",isolator,绝缘物
521-02-32,filled band,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=521-02-32,نطاق مُمْلُوء,"gefülltes Band, n",filled band,banda llena,täysi energiavyö,"bande pleine, f",banda piena,充満帯,충만대,pasmo zapełnione,banda cheia,"попуњена зона, ж јд",fyllt band,满带
521-02-33,empty band,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=521-02-33,نطاق فارغ,"leeres Band, n",empty band,banda vacía,tyhjä energiavyö,"bande vide, f",banda vuota,空帯,공대역공밴드,pasmo puste,banda vazia,"празна зона, ж јд",tomt band,空带
521-02-34,surface band,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=521-02-34,نطاق سطحيّ,"Oberflächenband, n",surface band,banda de superficie,pintavyö,"bande de surface, f",banda superficiale,表面帯,표면대역표면밴드,pasmo powierzchniowe,banda de superfície,"површинска зона, ж јд",ytband,表面带
521-02-35,local level,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=521-02-35,مستوى محلي,"örtliches Niveau, nlokales Niveau, n",local level,nivelación local,paikallinen energiataso,"niveau local, m",livello locale,局在準位,국지면국지 레벨,poziom lokalny,nível local,"локални ниво, м јд",lokal nivå,局部能级
521-02-36,impurity level,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=521-02-36,نطاق شوائب,"Störstellenniveau, n",impurity level,nivel de impureza,epäpuhtaustaso,"niveau d'impureté, m",livello di impurità,不純物準位,불순물 준위,poziom domieszkowy,nível de impureza,"ниво са примесама, м јд",störämnesnivå,杂质能级
521-02-37,impurity band,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=521-02-37,حزمة شوائب,"Störstellenband, n",impurity band,banda de impureza,epäpuhtausvyö,"bande d'impureté, f",banda di impurità,不純物帯,불순물 대,pasmo domieszkowe,banda de impureza,"зона са примесама, ж јд",störämnesband,杂质带
521-02-38,donor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=521-02-38,مانح,"Donator, m",donor,donador,donori,"donneur, m",donatore,ドナー,도너,donor,dador,"донор, м јд",donator,施主
521-02-39,acceptor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=521-02-39,متقبل,"Akzeptor, m",acceptor,aceptador,akseptori,"accepteur, m",accettore,アクセプター,받개억셉터,akceptor,aceitador,"акцептор, м јд",acceptor,受主
521-02-40,donor level,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=521-02-40,مستوى المانح,"Donatorniveau, n",donor level,nivel donador,donoritaso,"niveau donneur, m",livello donatore,ドナー準位,도너 준위,poziom donorowy,nível dador,"донорски ниво, м јд",donatornivå,施主能级
521-02-41,acceptor level,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=521-02-41,مستوى المتقبل,"Akzeptorniveau, n",acceptor level,nivel aceptador,akseptoritaso,"niveau accepteur, m",livello accettore,アクセプター準位,억셉터 준위,poziom akceptorowy,nível aceitador,"акцепторски ниво, м јд",acceptornivå,受主能级
521-02-42,surface level,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=521-02-42,مستوى سطحى,"Oberflächenniveau, n",surface level,nivel de superficie,pintatila,"niveau de surface, m",livello di superficie,表面準位,표면 준위,poziom powierzchniowy,nível de superfície,"површински ниво, м јд",ytnivå,表面能级
521-02-43,ionizing energy of donor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=521-02-43,طاقة تأين المانح,"Donator-Ionisierungsenergie, f",ionizing energy of donor,energía de ionización de un donador,donorin ionisaatioenergia,"énergie d'ionisation d'un donneur, f",energia di ionizzazione di un donatore,ドナーのイオン化エネルギー,도너 이온화 에너지,energia jonizacji donora,energia de ionização de um dador,"енергија јонизације донора, ж јд",joniseringsenergi för donator,施主电离能
521-02-44,ionizing energy of acceptor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=521-02-44,طاقة التاين لمتقبل,"Akzeptor-Ionisierungsenergie, f",ionizing energy of acceptor,energía de ionización de un aceptador,akseptorin ionisaatioenergia,"énergie d'ionisation d'un accepteur, f",energia di ionizzazione di un accettante,アクセプターのイオン化エネルギー,억셉터 이온화 에너지,energia jonizacji akceptora,energia de ionização de um aceitador,"енергија јонизације акцептора, ж јд",joniseringsenergi för acceptor,受主电离能
521-02-45,ideal crystal,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=521-02-45,بلورة مثالية,"Idealkristall, m",ideal crystal,cristal ideal,täydellinen kide,"cristal idéal, m",cristallo ideale,完全結晶,이상 결정,kryształ idealny,cristal ideal,"идеални кристал, м јд",ideal kristall,理想晶体
