term_id,term,term_url,ar,de,en,es,fi,fr,it,ja,ko,no,pl,pt,ru,sl,sr,sv,zh
151-12-06,"connect, verb",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=151-12-06,يوصل,"elektrisch verbinden, Verb","connect, verb","conectar, verbo",liittää,"connecter, verberaccorder, verbebrancher, verbe",connettere,"接続する, 動詞","접속하다, 동사",kople,łączyć,conectarligar,соединять,,"повезати, глагол",förbinda,"连接, 动词"
151-12-07,connection (1),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=151-12-07,وصل (1),"elektrische Verbindung, fVerbindung, f",connection (1)connexion  (1),conexión (1),liitosliitäntä,"connexion (1), f",connessione,接続,"접속, <관련엔트리: 151-12-08>",kopling,połączenie,ligação,соединение (1),,"веза, ж јдспој, м јд",förbindning,"连接, <相关条目：151-12-08，151-12-09>"
151-12-08,connection (2),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=151-12-08,ربط (2),"Verbindungselement, n",connection (2)connexion (2),conexión (2),kytkentäliitäntä,"connexion (2), f",(elemento di) connessione,結線,결선<관련엔트리: 151-12-07>,koplingsinnretning,element łączący,conexão (1),соединение (2),,"прикључак, м јд",anslutningsanordning,"连接, <相关条目：151-12-07，151-12-09>"
151-12-09,connecting,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=151-12-09,توصيل 3,"elektrisches Verbinden, n",connecting,conexión (3),kytkeminenliittäminen,"connexion, <3> fraccordement, mbranchement, m",di connessione,接続,접속,innkopling,łączenie,conexão (2),соединение (3),,"повезивање, с јд",anslutning,"连接, <相关条目：151-12-07，151-12-08>"
151-12-10,interconnection,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=151-12-10,ربط (ترابط),"Verbund, m",interconnectioninterconnexion,interconexión,yhteenkytkentätoisiinsaliittäminen,"interconnexion, f",interconnessione,相互接続,상호 접속,samankopling,połączenie wzajemne powiązanie,interconexão,объединение,,"међусобно повезивање, с јд",sammankoppling,互连
151-12-11,... bank,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=151-12-11,مجموعة,"...bank, f, in Zusammensetzungen...batterie, f, in Zusammensetzungen",... bankbattery of ...,banco de...batería de,… paristo,"batterie de ..., fbanc de …, m",banco di …,… バンク,... 조... 배터리,….gruppe... bank,bateria …zestaw …,bateria de ...banco de ...,группа батарея,,"комплет … уређаја, м јд",-bank-batteri,…组
151-12-12,terminal,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=151-12-12,نهاية -طرف,"Anschluss, mAnschlusspunkt, mPol, mKlemme, f",terminal,borneterminal,liitin,"borne, f",terminale; morsetto,端子,단자,klemme; pol,końcówka zacisk,terminal,вывод,,"прикључак, м јд",pol,端子引出端
151-12-13,two-terminal device,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=151-12-13,جهاز ثنائي الأطراف,"Zweipol, m",two-terminal device,dispositivo de dos terminales,kaksinapainen laite,"bipôle, mdipôle  (terme déconseillé dans ce sens), m",dispositivo (apparecchio) a 2 morsetti,二端子デバイス,2 단자 장치,to-pola eining,przyrząd dwukońcówkowy przyrząd dwuzaciskowy,bipolo,устройство с двумя выводами,,"уређај са два прикључка, м јд",tvåpol,二端器件
151-12-14,n-terminal device,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=151-12-14,جهاز متعدد الأطراف,"Mehrpol, mn-Pol, m",n-terminal device,dispositivo de n terminales,moninapainen laite,"multipôle, m",dispositivo (apparecchio) a n morsetti,n端子デバイス,n 단자 장치,n-pola eining,przyrząd n-końcówkowy przyrząd n-zaciskowy,multipolo,устройство с n- выводами,,"уређај са n прикључака, м јд",n-pol,n-端器件
151-12-15,contact (1),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=151-12-15,تماس (1),"Kontakt, m",contact (1),contacto (1),kosketin,"contact (1), m",contatto,接点,접점,kontakt,zestyk,contacto (1),контакт (1),,"контакт, м јд",kontakt,触头触点
151-12-16,contact member,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=151-12-16,عضور تماس,"Kontaktglied, n",contact membercontact (2),contacto (2)elemento de contacto,kosketin,"élément de contact, mcontact (2), m",elemento di contatto,接触子,"접점 요소접점, <2>",kontaktelement,styk,elemento de contactocontacto (2),контактный элементконтакт (2),,"контактни члан, м јдконтакт, м јд",kontaktelement,接触件
151-12-17,socket contact,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=151-12-17,مقبس تماس,"Kontaktbuchse, f",socket contactfemale contact,contacto hembra,naaraskosketinpistukka,"contact femelle, m",contatto femmina,ソケットメス型接点,소켓 접점오목형 접점,hokontakt,styk gniazdowy styk żeński,contacto de tomadacontacto fêmea,гнездовой контакт,,"прикључни контакт, м јдженски контакт, м јд",honkontakt,插孔接触件阴接触件
151-12-18,pin contact,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=151-12-18,مسمار تماس,"Kontaktstift, m",pin contactmale contact,contacto macho,uroskosketinpistike,"contact mâle, mbroche, f",contatto a piedino,ピンオス型接点,핀 접점볼록형 접점,hannkontakt,styk wtykowy styk męski,contacto de fichacontacto macho,штыревой контакт,,"утични контакт, м јдмушки контакт, м јд",hankontakt,插针接触件阳接触件
151-12-19,connector,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=151-12-19,رابط,"Steckverbinder, m",connector,conector,liitin,"connecteur, mprise, f",connettore mobile; presa di connettore,コネクタ,연결자커넥터,koplingsledd,złącze,conector,разъем,,"конектор, м јд",anslutningsdon,连接器
151-12-20,socket,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=151-12-20,مقبس,"Steckdose, f",socket,base,pistorasianaarasliitin,"socle, membase, f",zoccolo; alloggiamento,ソケット,소켓,stikkontakt,gniazdo,tomada,гнездо,,"прикључница, ж јд",sockel,插座
151-12-21,plug,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=151-12-21,قابس,"Stecker, m",plug,clavija,pistotulppaurosliitin,"fiche, f",spina,プラグ,플러그,plugg,wtyczka,ficha,штепсель,,"утикач, м јд",propp,插头
151-12-22,switch,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=151-12-22,مفتاح,"Schalter, m",switch,conmutador (1),kytkin,"commutateur (1), m",commutatore,スイッチ,스위치,brytar,łącznik,comutador (1),переключателькоммутатор,,"склопка, ж јд",strömställare,"开关, <相关条目：151-12-23>"
151-12-23,(on-off) switch,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=151-12-23,مفتاح ( وصل-فصل),"Ein-Aus-Schalter, m",(on-off) switch,interruptor,kytkin,"interrupteur, m",interruttore (manuale),オンオフスイッチスイッチ,개폐 스위치,av/på-brytar,wyłącznik,interruptor,выключатель,,"(укљ.-искљ.) склопка, ж јд",elkopplare,"通-断开关开关, <相关条目：151-12-22>"
151-12-24,change-over switch,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=151-12-24,مفتاح تغييرِ,"Umschalter, mWahlschalter, m",change-over switchselector switch,conmutador (2)selector,vaihtokytkin,"commutateur (2), msélecteur, m",commutatore; selettore,切換スイッチ,전환 스위치,"omkoplar, vendar",przełącznik selektor,comutador (2)selector,селекторный переключательселектор,,"склопка за промену избора, ж јдселектор-склопка, ж јд",omkopplare,转换开关
151-12-25,reversing switch,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=151-12-25,مفتاح عاكس,"Stromumkehrschalter, mUmkehrschalter, m",reversing switch,inversor,suunnanvaihtokytkin,"inverseur, m",inversore,転極器,역방향 스위치,omkastar,łącznik rewersyjny,inversor,реверсирующий переключатель,,"склопка за преусмеравање, ж јд",omkastare,倒向开关换向开关
151-12-26,galvanic separation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=151-12-26,فصل غلفاني,"galvanische Trennung, f",galvanic separation,separación galvánica,galvaaninen erotus,"séparation électrique, fséparation galvanique (terme déconseillé), f",separazione galvanica,電気的分離,갈바닉 절연,galvanisk skilje (separasjon),separacja elektryczna,separação galvânica,гальваническая развязка,,"галванско раздвајање, с јд",galvanisk separering,电隔离
151-12-27,electric line,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=151-12-27,خط كهربائى,"elektrische Leitung, fLeitung, <zur Übertragung elektrischer Energie> f","electric lineline, <for transfer of electric energy>",línea,johto,"ligne électrique, fligne, <pour le transfert de l'énergie électrique> f",linea,電力線路,선로,elektrisk leidning,"linia elektryczna, flinia, f","linha elétricalinha, <para transferência de energia elétrica>",линия,,"вод, м јд",elektrisk ledning(elektrisk) ledning,电力线路
151-12-28,wire,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=151-12-28,سلك,"Draht, m",wire,hilo,johdin,"fil, m",conduttore; filo,電線,전선,metalltråd,drut,fio (1),провод,,"жица, ж јд",tråd,电线导线
151-12-29,bar,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=151-12-29,قضيب,"Stab, mSchiene, f",bar,barra,kisko,"barre, f",sbarra,バー,바,skjene,szyna przewód szynowy,barra,шина,,"шипка, ж јд",skena,杆状导体
151-12-30,busbar,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=151-12-30,قضيب توصيل,"Sammelschiene, f",busbar,"barra ""ómnibus""",kokoojakisko,"barre omnibus, f",sbarra; sbarra omnibus,母線,모선,samleskjene,szyna zbiorcza,barramento,общая шина,,"сабирница, ж јд",samlingsskena,汇流排母线
151-12-31,transmission line (in electric power systems),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=151-12-31,خط نقل (فى نظم القدرة الكهربائية),"Übertragungsleitung (in Elektrizitätsversorgungssystemen), fTransportleitung (in Elektrizitätsversorgungssystemen), f",transmission line (in electric power systems),línea de transporte,siirtojohto,"ligne de transport, f",linea di trasmissione,"送電線, <電力系統の>","송전 선로, <전력 계통>",overføringsline,linia elektroenergetyczna przesyłowa linia przesyłowa,linha de transporte,линия передачи (в электроэнергетических системах),,"преносни вод, <у системима електричног напајања> м јд",kraftledning,"输电线路, <用于电力系统>"
151-12-32,transmission line (in telecommunications and electronics),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=151-12-32,خط نقل (فى الإلكترونيات و الإتصال عن بعد),"Übertragungsleitung (in der Telekommunikation und der Elektronik), f",transmission line (in telecommunications and electronics),línea de transmisión,siirtojohto,"ligne de transmission, f",linea di trasmissione,"伝送線路, <電気通信及び電子工学の>","전송 선로, <전기통신 및 전자공학>",transmisjonsline,linia teletransmisyjna linia telekomunikacyjna,linha de transmissão,линия передачи (в дистанционной связи и электронике),,"преносни вод, <у телекомуникацијама и електроници> м јд",transmissionsledning,"传输线路, <用于电信、电子>传输线, <用于电信、电子>"
151-12-33,overhead line,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=151-12-33,خط هوائي,"Freileitung, f",overhead line,línea aérea,ilmajohto,"ligne aérienne, f",linea aerea,架空線,가공 선로,luftline,linia napowietrzna,linha aérea,воздушная линия,,"надземни вод, м јд",luftledning,架空线路
151-12-34,waveguide,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=151-12-34,دليل موجى,"Wellenleiter, m",waveguide,guía de ondas,aaltoputki,"guide d'ondes, m",guida d'onda,導波管,도파관,bølgjeleiar,"falowód, m",guia de ondas,волновод,,"таласовод, м јд",vågledare,波导
151-12-35,optical fibre,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=151-12-35,ألياف ضوئية,"Lichtwellenleiter, mGlasfaser, fLWL",optical fibre,fibra óptica,optinen kuitu,"fibre optique, f",fibra ottica,光ファイバー,광섬유,optisk fiber,"włókno światłowodowe, n",fibra óptica,оптическое волокно,,"оптичко влакно, с јд",optofiber,光纤
151-12-36,stranded conductor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=151-12-36,موصل مجدول,"verseilter Leiter, m",stranded conductor,conductor cableado,kerrattu johdin,"conducteur câblé, m",conduttore cordato,より線,연선 도체,fleirtråda leiar,linka przewód wielodrutowy,condutor cableado,многожильный провод,,"поужени проводник, м јд",fåtrådig ledare,绞合导体
151-12-37,strand,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=151-12-37,مجدول,"Einzeldraht, m",strand,alambre,säie,"brin, m",filo alimentatore,素線,소선,tråd (enkelttråd),drut linki,fio (2),жила,,"нит, ж јд",tråd,股线
151-12-38,cable,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=151-12-38,كبل,"Kabel, n",cable,cable,kaapeli,"câble, m",cavo,ケーブル,케이블,kabel,kabel przewód izolowany,cabo,кабель,,"кабл, м јд",kabel,电缆/光缆
151-12-39,pair,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=151-12-39,زوج,"Leitungspaar, nPaar, n",pair,par,pari,"paire, f",coppia,対,쌍,par,para,par,(проводящая) пара,,"парица, ж јд",parledning,线对
151-12-40,quad,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=151-12-40,رباعى,"Viererbündel, nVierer, m",quad,cuádruple,nelikierre,"quarte, f",bicoppia; quarta,カッド,쿼드,snodd firar (tvinna firar),czwórka wiązka czwórkowa,quadra,четверка,,"сноп од четири проводника, м јд",fyrskruv,星绞对
151-12-41,sheath,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=151-12-41,غلاف,"Mantel, m",sheathjacket  (North America),cubierta,vaippa,"gaine, f",guaina,シースジャケット,시스재킷,kappe,osłona,bainha,чехол,,"плашт, <плашт: IEV 151-13-13> м јд",mantel,护套
151-12-42,external circuit,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=151-12-42,,"externer Stromkreis, m",external circuit,circuito externo,,"circuit externe, m",,外部回路,외부 회로,ekstern krins,"obwód zewnętrzny, m",circuito externo,,,"спољашње коло, с јд",,外部电路
151-13-01,electrode,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=151-13-01,قطب (الكترود),"Elektrode, f",electrode,electrodo,elektrodi,"électrode, f",elettrodo,電極,전극,elektrode,elektroda,eléctrodo,электрод,,"електрода, ж јд",elektrod,电极
151-13-02,anode,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=151-13-02,مصعد (أنود),"Anode, f",anode,ánodo,anodi,"anode, f",anodo,陽極,양극,anode,anoda,ânodo,анод,,"анода, ж јд",anod,阳极
151-13-03,cathode,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=151-13-03,مهبط (كاثود),"Kathode, f",cathode,cátodo,katodi,"cathode, f",catodo,陰極,음극,katode,katoda,cátodo,катод,,"катода, ж јд",katod,阴极
151-13-04,negative electrode,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=151-13-04,قطب كهربائي سالب,"negative Elektrode, f",negative electrode,electrodo negativo,negatiivinen elektrodi,"électrode négative, f",elettrodo negativo,負電極負極,음전극,negativ elektrode,elektroda ujemna,eléctrodo negativo,отрицательный электрод,,"негативна електрода, ж јд",negativ elektrod,负电极负极
151-13-05,positive electrode,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=151-13-05,قطب كهربائي موجب,"positive Elektrode, f",positive electrode,electrodo positivo,positiivinen elektrodi,"électrode positive, f",elettrodo positivo,正電極正極,양전극,positiv elektrode,elektroda dodatnia,eléctrodo positivo,положительный электрод,,"позитивна електрода, ж јд",positiv elektrod,正电极正极
151-13-06,chassis,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=151-13-06,هيكل,"Chassis, n",chassis,chasis,runko,"châssis, m",telaio,シャシ,섀시,chassis,korpus podstawa montażowa,bastidor,шасси,,"шасија, ж јд",chassi,机箱
